Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-03-31,Assam,1,0,0,0,
2020-04-01,Assam,16,0,0,0,
2020-04-02,Assam,16,0,0,0,962
2020-04-03,Assam,23,0,0,0,962
2020-04-04,Assam,26,0,0,0,962
2020-04-05,Assam,26,0,0,0,962
2020-04-06,Assam,26,0,0,0,962
2020-04-07,Assam,28,0,0,0,962
2020-04-08,Assam,28,0,0,0,962
2020-04-09,Assam,29,0,0,0,962
2020-04-10,Assam,29,0,1,0,2863
2020-04-11,Assam,29,0,1,0,3011
2020-04-12,Assam,30,0,1,0,3138
2020-04-13,Assam,32,0,1,0,3138
2020-04-14,Assam,33,0,1,0,3491
2020-04-15,Assam,33,2,1,0,3613
2020-04-16,Assam,35,5,1,0,4108
2020-04-17,Assam,35,9,1,0,4236
2020-04-18,Assam,35,12,1,0,4400
2020-04-19,Assam,35,17,1,0,4865
2020-04-20,Assam,35,19,1,0,5112
2020-04-21,Assam,35,19,1,0,5514
2020-04-22,Assam,35,19,1,0,5514
2020-04-23,Assam,36,19,1,0,5514
2020-04-24,Assam,36,19,1,0,6680
2020-04-25,Assam,36,19,1,0,7159
2020-04-26,Assam,36,27,1,0,7823
2020-04-27,Assam,36,27,1,0,8117
2020-04-28,Assam,38,27,1,0,8117
2020-04-29,Assam,38,29,1,0,9520
2020-04-30,Assam,43,29,1,0,9520
2020-05-01,Assam,43,33,1,0,9520
2020-05-02,Assam,43,33,1,0,11623
2020-05-03,Assam,43,33,1,0,11623
2020-05-04,Assam,43,33,1,0,12775
2020-05-05,Assam,45,33,1,0,13442
2020-05-06,Assam,46,35,1,0,13442
2020-05-07,Assam,54,35,1,0,13442
2020-05-08,Assam,60,35,2,0,13442
2020-05-09,Assam,62,35,2,0,16167
2020-05-10,Assam,63,35,2,0,18002
2020-05-11,Assam,65,40,2,0,19589
2020-05-12,Assam,65,40,2,0,21791
2020-05-13,Assam,80,40,2,0,21791
2020-05-14,Assam,87,40,2,0,25824
2020-05-15,Assam,90,41,2,0,28178
2020-05-16,Assam,93,41,2,0,31276
2020-05-17,Assam,101,42,2,0,34376
2020-05-18,Assam,116,42,4,0,37898
2020-05-19,Assam,158,42,4,0,41116
2020-05-20,Assam,189,49,4,3,47084
2020-05-21,Assam,211,55,4,3,51730
2020-05-22,Assam,226,55,4,3,55791
2020-05-23,Assam,347,57,4,3,60405
2020-05-24,Assam,393,58,4,3,66444
2020-05-25,Assam,549,63,4,3,70029
2020-05-26,Assam,683,63,4,3,72654
2020-05-27,Assam,784,88,4,3,72654
2020-05-28,Assam,881,104,4,3,72654
2020-05-29,Assam,1058,126,4,3,92390
2020-05-30,Assam,1217,164,4,3,101257
2020-05-31,Assam,1340,186,4,3,109097
2020-06-01,Assam,1486,285,4,3,109097
2020-06-02,Assam,1560,338,4,3,120375
2020-06-03,Assam,1831,414,4,3,126726
2020-06-04,Assam,2116,460,4,3,133029
2020-06-05,Assam,2244,510,4,3,133029
2020-06-06,Assam,2474,589,4,3,146605
2020-06-07,Assam,2682,637,4,3,153326
2020-06-08,Assam,2836,785,4,3,153326
2020-06-09,Assam,3051,1097,5,3,169842
2020-06-10,Assam,3286,1249,6,3,169842
2020-06-11,Assam,3431,1433,6,3,181108
2020-06-12,Assam,3694,1585,8,3,188090
2020-06-13,Assam,3901,1806,8,3,188090
2020-06-14,Assam,4119,1961,8,3,188090
2020-06-15,Assam,4310,2206,8,3,217088
