Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-03-19,Chandigarh,1,0,0,0,
2020-03-20,Chandigarh,5,0,0,0,
2020-03-21,Chandigarh,5,0,0,0,
2020-03-22,Chandigarh,6,0,0,0,
2020-03-23,Chandigarh,7,0,0,0,
2020-03-24,Chandigarh,7,0,0,0,
2020-03-25,Chandigarh,7,0,0,0,
2020-03-26,Chandigarh,7,0,0,0,
2020-03-27,Chandigarh,8,0,0,0,
2020-03-28,Chandigarh,8,0,0,0,
2020-03-29,Chandigarh,8,0,0,0,
2020-03-30,Chandigarh,13,0,0,0,
2020-03-31,Chandigarh,15,0,0,0,
2020-04-01,Chandigarh,17,0,0,0,
2020-04-02,Chandigarh,18,0,0,0,124
2020-04-03,Chandigarh,18,0,0,0,124
2020-04-04,Chandigarh,18,3,0,0,124
2020-04-05,Chandigarh,18,5,0,0,124
2020-04-06,Chandigarh,18,5,0,0,124
2020-04-07,Chandigarh,18,7,0,0,124
2020-04-08,Chandigarh,18,7,0,0,184
2020-04-09,Chandigarh,18,7,0,0,184
2020-04-10,Chandigarh,19,7,0,0,223
2020-04-11,Chandigarh,19,7,0,0,264
2020-04-12,Chandigarh,21,7,0,0,279
2020-04-13,Chandigarh,21,7,0,0,296
2020-04-14,Chandigarh,21,7,0,0,309
2020-04-15,Chandigarh,21,9,0,0,317
2020-04-16,Chandigarh,21,9,0,0,337
2020-04-17,Chandigarh,21,9,0,0,358
2020-04-18,Chandigarh,23,9,0,0,381
2020-04-19,Chandigarh,26,13,0,0,430
2020-04-20,Chandigarh,26,14,0,0,453
2020-04-21,Chandigarh,27,14,0,0,497
2020-04-22,Chandigarh,27,14,0,0,529
2020-04-23,Chandigarh,27,14,0,0,599
2020-04-24,Chandigarh,27,15,0,0,638
2020-04-25,Chandigarh,28,15,0,0,734
2020-04-26,Chandigarh,36,17,0,0,756
2020-04-27,Chandigarh,45,17,0,0,843
2020-04-28,Chandigarh,56,17,0,0,924
2020-04-29,Chandigarh,68,17,0,0,1012
2020-04-30,Chandigarh,74,18,0,0,1147
2020-05-01,Chandigarh,88,18,0,0,1252
2020-05-02,Chandigarh,94,19,0,0,1462
2020-05-03,Chandigarh,97,19,1,0,1616
2020-05-04,Chandigarh,102,21,1,0,1678
2020-05-05,Chandigarh,119,21,1,0,1713
2020-05-06,Chandigarh,124,21,1,0,1785
2020-05-07,Chandigarh,135,21,1,0,1845
2020-05-08,Chandigarh,146,21,2,0,1913
2020-05-09,Chandigarh,169,24,2,0,2055
2020-05-10,Chandigarh,173,24,3,0,2142
2020-05-11,Chandigarh,181,28,3,0,2177
2020-05-12,Chandigarh,187,30,3,0,2276
2020-05-13,Chandigarh,191,30,3,0,2420
2020-05-14,Chandigarh,191,37,3,0,2505
2020-05-15,Chandigarh,191,40,3,0,2586
2020-05-16,Chandigarh,191,51,3,0,2718
2020-05-17,Chandigarh,191,51,3,0,2812
2020-05-18,Chandigarh,196,54,3,0,2892
2020-05-19,Chandigarh,199,57,3,0,3031
2020-05-20,Chandigarh,202,136,3,0,3031
2020-05-21,Chandigarh,218,178,3,0,3369
2020-05-22,Chandigarh,219,178,3,0,3531
2020-05-23,Chandigarh,225,179,3,0,3749
2020-05-24,Chandigarh,262,179,4,0,3904
2020-05-25,Chandigarh,266,187,4,0,4089
2020-05-26,Chandigarh,278,187,4,0,4207
2020-05-27,Chandigarh,279,187,4,0,4332
2020-05-28,Chandigarh,289,189,4,0,4467
2020-05-29,Chandigarh,289,189,4,0,4543
2020-05-30,Chandigarh,289,199,4,0,4654
2020-05-31,Chandigarh,293,199,4,0,4785
2020-06-01,Chandigarh,297,214,4,0,4816
2020-06-02,Chandigarh,301,214,5,0,4902
2020-06-03,Chandigarh,301,214,5,0,4977
2020-06-04,Chandigarh,302,222,5,0,5059
2020-06-05,Chandigarh,309,273,5,0,5121
2020-06-06,Chandigarh,312,273,5,0,5237
2020-06-07,Chandigarh,314,274,5,0,5312
2020-06-08,Chandigarh,320,285,5,0,5385
2020-06-09,Chandigarh,326,285,5,0,5385
2020-06-10,Chandigarh,328,289,5,0,5532
2020-06-11,Chandigarh,332,293,5,0,5636
2020-06-12,Chandigarh,345,295,5,0,5708
2020-06-13,Chandigarh,350,295,5,0,5839
2020-06-14,Chandigarh,352,295,5,0,5937
2020-06-15,Chandigarh,357,301,6,0,6027
2020-06-16,Chandigarh,365,302,6,0,6115
2020-06-17,Chandigarh,370,306,6,0,6233
2020-06-18,Chandigarh,374,306,6,0,6315
2020-06-19,Chandigarh,381,315,6,0,6438
2020-06-20,Chandigarh,404,316,6,0,6578
2020-06-21,Chandigarh,406,316,6,0,6677
2020-06-22,Chandigarh,411,322,6,0,6745
2020-06-23,Chandigarh,418,322,6,0,6840
2020-06-24,Chandigarh,420,322,6,0,6981
2020-06-25,Chandigarh,423,329,6,0,7072
2020-06-26,Chandigarh,425,335,6,0,7201
2020-06-27,Chandigarh,428,335,6,0,7342
2020-06-28,Chandigarh,431,336,6,0,7455
2020-06-29,Chandigarh,434,349,6,0,7548
2020-06-30,Chandigarh,440,364,6,0,7689
2020-07-01,Chandigarh,446,367,6,0,7792
2020-07-02,Chandigarh,450,389,6,0,7938
2020-07-03,Chandigarh,454,393,6,0,8074
2020-07-04,Chandigarh,459,395,6,0,8209
2020-07-05,Chandigarh,466,395,6,0,8419
2020-07-06,Chandigarh,487,401,6,0,8528
2020-07-07,Chandigarh,492,401,7,0,8669
2020-07-08,Chandigarh,507,402,7,0,8833
2020-07-09,Chandigarh,523,403,7,0,9096
2020-07-10,Chandigarh,536,408,7,0,9253
2020-07-11,Chandigarh,549,413,8,0,9405
2020-07-12,Chandigarh,559,417,8,0,9571
2020-07-13,Chandigarh,588,423,8,0,9722
2020-07-14,Chandigarh,600,446,10,0,9834
2020-07-15,Chandigarh,619,459,11,0,10050
2020-07-16,Chandigarh,635,476,11,0,10244
2020-07-17,Chandigarh,660,480,11,0,10457
2020-07-18,Chandigarh,691,485,12,0,10773
2020-07-19,Chandigarh,717,488,12,0,10959
2020-07-20,Chandigarh,737,518,12,0,11075
2020-07-21,Chandigarh,751,518,12,0,11271
2020-07-22,Chandigarh,780,526,13,0,11547
2020-07-23,Chandigarh,800,531,13,0,11780
2020-07-24,Chandigarh,823,535,13,0,12030
2020-07-25,Chandigarh,852,555,13,0,12358
2020-07-26,Chandigarh,887,572,13,0,12608
2020-07-27,Chandigarh,910,575,14,0,12786
2020-07-28,Chandigarh,934,599,14,0,13069
2020-07-29,Chandigarh,978,611,14,0,13327
2020-07-30,Chandigarh,1016,647,14,0,13683
2020-07-31,Chandigarh,1051,667,15,0,13959
2020-08-01,Chandigarh,1079,683,18,0,14239
2020-08-02,Chandigarh,1117,698,19,1,14493
2020-08-03,Chandigarh,1160,706,19,1,14778
2020-08-04,Chandigarh,1206,715,20,1,15116
2020-08-05,Chandigarh,1270,715,20,1,15611
2020-08-06,Chandigarh,1327,777,20,1,16034
2020-08-07,Chandigarh,1374,820,23,1,16596
2020-08-08,Chandigarh,1426,872,24,1,17067
2020-08-09,Chandigarh,1515,904,25,1,17510
2020-08-10,Chandigarh,1595,1004,25,1,17928
2020-08-11,Chandigarh,1670,1015,26,1,18625
2020-08-12,Chandigarh,1751,1023,27,1,19141
2020-08-13,Chandigarh,1842,1076,28,1,19593
2020-08-14,Chandigarh,1928,1091,28,2,20060
2020-08-15,Chandigarh,2009,1118,28,2,20520
2020-08-16,Chandigarh,2102,1137,29,2,21060
2020-08-17,Chandigarh,2216,1183,30,2,21563
2020-08-18,Chandigarh,2305,1243,30,2,22198
2020-08-19,Chandigarh,2396,1351,31,2,22730
2020-08-20,Chandigarh,2515,1390,31,2,23374
2020-08-21,Chandigarh,2631,1426,33,2,24064
2020-08-22,Chandigarh,2776,1471,33,2,24693
2020-08-23,Chandigarh,2918,1492,37,2,25203
2020-08-24,Chandigarh,3035,1646,37,2,25645
2020-08-25,Chandigarh,3209,1713,40,2,26348
2020-08-26,Chandigarh,3376,1800,41,2,27076
2020-08-27,Chandigarh,3564,1977,43,0,27567
2020-08-28,Chandigarh,3724,2107,45,0,28337
2020-08-29,Chandigarh,3985,2248,45,0,29118
2020-08-30,Chandigarh,4155,2296,52,2,29864
2020-08-31,Chandigarh,4346,2431,56,2,30377
2020-09-01,Chandigarh,4550,2551,57,3,31268
2020-09-02,Chandigarh,4789,2670,59,3,32134
2020-09-03,Chandigarh,5065,2883,63,3,33007
2020-09-04,Chandigarh,5268,3105,68,3,33572
2020-09-05,Chandigarh,5502,3290,69,3,34369
2020-09-06,Chandigarh,5763,3439,71,3,35288
2020-09-07,Chandigarh,5995,3734,74,3,36079
2020-09-08,Chandigarh,6372,3960,75,3,37070
2020-09-09,Chandigarh,6704,4140,77,3,41440
2020-09-10,Chandigarh,6987,4331,80,3,43701
2020-09-11,Chandigarh,7292,4600,83,3,45336
2020-09-12,Chandigarh,7542,4864,89,3,47306
2020-09-13,Chandigarh,7991,5170,90,3,49451
2020-09-14,Chandigarh,8245,5300,95,3,51718
2020-09-15,Chandigarh,8592,5502,96,3,54371
2020-09-16,Chandigarh,8958,5683,101,3,56490
2020-09-17,Chandigarh,9246,6062,106,3,57679
2020-09-18,Chandigarh,9506,6415,110,3,58937
2020-09-19,Chandigarh,9796,6766,116,3,60311
2020-09-20,Chandigarh,10082,7138,120,3,62834
2020-09-21,Chandigarh,10298,7411,123,3,64625
2020-09-22,Chandigarh,10546,7794,127,3,67020
2020-09-23,Chandigarh,10726,8049,137,3,68270
2020-09-24,Chandigarh,10968,8342,144,0,69528
2020-09-25,Chandigarh,11212,8677,145,0,71009
2020-09-26,Chandigarh,11380,8937,145,0,72652
2020-09-27,Chandigarh,11553,9103,147,0,74415
2020-09-28,Chandigarh,11678,9325,153,0,75896
2020-09-29,Chandigarh,11816,9598,158,0,76721
2020-09-30,Chandigarh,11938,9813,162,0,77489
2020-10-01,Chandigarh,12057,10009,164,0,78390
2020-10-02,Chandigarh,12212,10162,169,0,79351
2020-10-03,Chandigarh,12360,10396,172,0,80300
2020-10-04,Chandigarh,12445,10598,174,0,81066
2020-10-05,Chandigarh,12578,10797,177,0,81671
2020-10-06,Chandigarh,12707,11035,180,0,82586
2020-10-07,Chandigarh,12820,11190,182,0,83413
2020-10-08,Chandigarh,12922,11344,186,0,84167
2020-10-09,Chandigarh,12985,11505,188,0,85187
2020-10-10,Chandigarh,13081,11662,190,0,86201
2020-10-11,Chandigarh,13166,11787,191,0,87485
2020-10-12,Chandigarh,13260,11898,192,0,88819
2020-10-13,Chandigarh,13331,12007,197,0,89969
2020-10-14,Chandigarh,13403,12119,199,0,91177
2020-10-15,Chandigarh,13477,12232,201,0,92198
2020-10-16,Chandigarh,13532,12352,206,0,93420
2020-10-17,Chandigarh,13582,12460,207,0,94462
2020-10-18,Chandigarh,13646,12554,208,0,95022
2020-10-19,Chandigarh,13686,12617,208,0,95776
2020-10-20,Chandigarh,13743,12724,209,0,96707
2020-10-21,Chandigarh,13797,12842,209,0,97841
2020-10-22,Chandigarh,13848,12924,212,0,98981
2020-10-23,Chandigarh,13920,13009,214,0,100045
2020-10-24,Chandigarh,13977,13087,216,0,100797
2020-10-25,Chandigarh,14038,13167,218,0,101219
2020-10-26,Chandigarh,14085,13230,222,0,101778
2020-10-27,Chandigarh,14152,13279,223,0,102933
2020-10-28,Chandigarh,14212,13359,224,0,104136
2020-10-29,Chandigarh,14292,13402,225,0,105409
2020-10-30,Chandigarh,14351,13469,225,0,106090
2020-10-31,Chandigarh,14418,13551,226,0,107015
2020-11-01,Chandigarh,14476,13632,226,0,107851
2020-11-02,Chandigarh,14528,13708,227,0,108911
2020-11-03,Chandigarh,14608,13751,228,0,110083
2020-11-04,Chandigarh,14702,13802,229,0,110989
2020-11-05,Chandigarh,14794,13862,229,0,112391
2020-11-06,Chandigarh,14927,13925,230,0,113593
2020-11-07,Chandigarh,15025,13978,232,0,114773
2020-11-08,Chandigarh,15134,14024,234,0,115589
2020-11-09,Chandigarh,15249,14110,237,0,116839
2020-11-10,Chandigarh,15339,14176,241,0,118279
2020-11-11,Chandigarh,15434,14233,243,0,119635
2020-11-12,Chandigarh,15543,14297,244,0,120681
2020-11-13,Chandigarh,15636,14381,246,0,121484
2020-11-14,Chandigarh,15636,14381,246,0,121484
2020-11-15,Chandigarh,15804,14468,248,0,122189
2020-11-16,Chandigarh,15886,14584,250,0,123326
2020-11-17,Chandigarh,16022,14744,252,0,124741
2020-11-18,Chandigarh,16167,14833,253,0,126852
