Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-03-19,Chhattisgarh,1,0,0,0,
2020-03-20,Chhattisgarh,1,0,0,0,
2020-03-21,Chhattisgarh,1,0,0,0,
2020-03-22,Chhattisgarh,1,0,0,0,
2020-03-23,Chhattisgarh,1,0,0,0,
2020-03-24,Chhattisgarh,1,0,0,0,
2020-03-25,Chhattisgarh,3,0,0,0,
2020-03-26,Chhattisgarh,6,0,0,0,
2020-03-27,Chhattisgarh,6,0,0,0,
2020-03-28,Chhattisgarh,7,0,0,0,
2020-03-29,Chhattisgarh,7,0,0,0,
2020-03-30,Chhattisgarh,8,0,0,0,
2020-03-31,Chhattisgarh,9,2,0,0,
2020-04-01,Chhattisgarh,9,2,0,0,
2020-04-02,Chhattisgarh,9,3,0,0,1232
2020-04-03,Chhattisgarh,9,3,0,0,1232
2020-04-04,Chhattisgarh,10,3,0,0,1232
2020-04-05,Chhattisgarh,10,8,0,0,1232
2020-04-06,Chhattisgarh,10,8,0,0,1232
2020-04-07,Chhattisgarh,10,9,0,0,1232
2020-04-08,Chhattisgarh,10,9,0,0,1232
2020-04-09,Chhattisgarh,18,9,0,0,1232
2020-04-10,Chhattisgarh,18,9,0,0,3473
2020-04-11,Chhattisgarh,25,9,0,0,3858
2020-04-12,Chhattisgarh,31,10,0,0,3945
2020-04-13,Chhattisgarh,31,10,0,0,4377
2020-04-14,Chhattisgarh,33,13,0,0,4812
2020-04-15,Chhattisgarh,33,17,0,0,5122
2020-04-16,Chhattisgarh,36,23,0,0,5519
2020-04-17,Chhattisgarh,36,24,0,0,5776
2020-04-18,Chhattisgarh,36,25,0,0,5776
2020-04-19,Chhattisgarh,36,25,0,0,6675
2020-04-20,Chhattisgarh,36,25,0,0,7601
2020-04-21,Chhattisgarh,36,25,0,0,8272
2020-04-22,Chhattisgarh,36,28,0,0,9220
2020-04-23,Chhattisgarh,36,30,0,0,10346
2020-04-24,Chhattisgarh,36,30,0,0,11386
