Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-03-31,Jharkhand,1,0,0,0,
2020-04-01,Jharkhand,1,0,0,0,
2020-04-02,Jharkhand,2,0,0,0,
2020-04-03,Jharkhand,2,0,0,0,
2020-04-04,Jharkhand,2,0,0,0,
2020-04-05,Jharkhand,3,0,0,0,
2020-04-06,Jharkhand,4,0,0,0,
2020-04-07,Jharkhand,4,0,0,0,
2020-04-08,Jharkhand,4,0,0,0,
2020-04-09,Jharkhand,13,0,1,0,
2020-04-10,Jharkhand,14,0,1,0,1340
2020-04-11,Jharkhand,17,0,1,0,1546
2020-04-12,Jharkhand,19,0,2,0,1683
2020-04-13,Jharkhand,24,0,2,0,1982
2020-04-14,Jharkhand,27,0,2,0,2334
2020-04-15,Jharkhand,28,0,2,0,2334
2020-04-16,Jharkhand,29,0,2,0,2334
2020-04-17,Jharkhand,32,0,2,0,3143
2020-04-18,Jharkhand,33,0,2,0,3431
2020-04-19,Jharkhand,41,0,2,0,3646
2020-04-20,Jharkhand,46,4,2,0,4235
2020-04-21,Jharkhand,46,4,2,0,4235
2020-04-22,Jharkhand,46,4,2,0,5176
2020-04-23,Jharkhand,53,8,3,0,5380
2020-04-24,Jharkhand,59,8,3,0,6162
2020-04-25,Jharkhand,67,8,3,0,6970
2020-04-26,Jharkhand,82,13,3,0,7806
2020-04-27,Jharkhand,103,17,3,0,8757
2020-04-28,Jharkhand,105,19,3,0,9408
2020-04-29,Jharkhand,107,19,3,0,10268
2020-04-30,Jharkhand,110,19,3,0,10987
2020-05-01,Jharkhand,113,21,3,0,11771
2020-05-02,Jharkhand,115,22,3,0,12393
2020-05-03,Jharkhand,115,27,3,0,13055
2020-05-04,Jharkhand,115,27,3,0,13832
2020-05-05,Jharkhand,125,33,3,0,15064
2020-05-06,Jharkhand,127,37,3,0,15908
2020-05-07,Jharkhand,132,41,3,0,17101
2020-05-08,Jharkhand,154,41,3,0,17219
2020-05-09,Jharkhand,156,78,3,0,18632
2020-05-10,Jharkhand,157,78,3,0,20832
2020-05-11,Jharkhand,161,78,3,0,21201
2020-05-12,Jharkhand,172,79,3,0,22815
2020-05-13,Jharkhand,177,87,3,0,25769
2020-05-14,Jharkhand,203,87,3,0,27789
2020-05-15,Jharkhand,211,97,3,0,29236
2020-05-16,Jharkhand,217,113,3,0,31025
2020-05-17,Jharkhand,223,113,3,0,33220
2020-05-18,Jharkhand,228,127,3,0,35359
2020-05-19,Jharkhand,248,127,3,0,37589
2020-05-20,Jharkhand,290,129,3,0,39402
2020-05-21,Jharkhand,303,136,3,0,41936
2020-05-22,Jharkhand,323,136,3,0,43988
2020-05-23,Jharkhand,350,141,3,0,45785
2020-05-24,Jharkhand,370,148,4,0,48641
2020-05-25,Jharkhand,405,148,4,0,50709
2020-05-26,Jharkhand,426,153,4,0,53309
2020-05-27,Jharkhand,433,153,4,0,55427
2020-05-28,Jharkhand,439,153,4,0,57250
2020-05-29,Jharkhand,521,216,5,0,59452
2020-05-30,Jharkhand,594,256,5,0,62916
2020-05-31,Jharkhand,635,256,5,0,65886
2020-06-01,Jharkhand,661,296,5,0,69187
2020-06-02,Jharkhand,722,296,5,0,71296
2020-06-03,Jharkhand,764,297,5,0,74499
2020-06-04,Jharkhand,827,366,6,0,77641
2020-06-05,Jharkhand,922,435,7,0,80097
2020-06-06,Jharkhand,1028,473,7,0,84444
2020-06-07,Jharkhand,1103,490,7,0,87721
2020-06-08,Jharkhand,1290,519,7,0,92325
2020-06-09,Jharkhand,1416,559,8,0,95099
2020-06-10,Jharkhand,1551,592,8,0,95500
2020-06-11,Jharkhand,1599,630,8,0,99931
2020-06-12,Jharkhand,1656,685,8,0,102092
2020-06-13,Jharkhand,1711,816,8,0,103905
2020-06-14,Jharkhand,1763,905,8,0,106104
2020-06-15,Jharkhand,1793,1000,9,0,108576
2020-06-16,Jharkhand,1839,1121,9,0,110813
2020-06-17,Jharkhand,1896,1151,10,0,113004
2020-06-18,Jharkhand,1919,1198,11,0,115186
2020-06-19,Jharkhand,1961,1335,11,0,117569
2020-06-20,Jharkhand,2024,1404,11,0,120892
2020-06-21,Jharkhand,2098,1406,11,0,121770
2020-06-22,Jharkhand,2140,1469,11,0,124008
2020-06-23,Jharkhand,2193,1520,11,0,126007
2020-06-24,Jharkhand,2219,1575,12,0,128214
2020-06-25,Jharkhand,2263,1605,12,0,131169
2020-06-26,Jharkhand,2294,1647,12,0,133082
2020-06-27,Jharkhand,2339,1724,12,0,135276
2020-06-28,Jharkhand,2364,1793,12,0,137438
2020-06-29,Jharkhand,2426,1849,15,0,139907
2020-06-30,Jharkhand,2490,1884,15,0,142641
2020-07-01,Jharkhand,2525,1931,15,0,145692
2020-07-02,Jharkhand,2585,1988,15,0,148738
2020-07-03,Jharkhand,2697,2001,15,0,151699
2020-07-04,Jharkhand,2739,2035,18,0,154618
2020-07-05,Jharkhand,2807,2045,19,0,156778
2020-07-06,Jharkhand,2854,2068,20,0,159176
2020-07-07,Jharkhand,3018,2104,22,0,161564
2020-07-08,Jharkhand,3134,2170,22,0,164504
2020-07-09,Jharkhand,3268,2210,23,0,167650
2020-07-10,Jharkhand,3518,2224,23,0,172032
2020-07-11,Jharkhand,3663,2256,24,0,176858
2020-07-12,Jharkhand,3760,2308,31,0,180439
2020-07-13,Jharkhand,3963,2351,33,0,184656
2020-07-14,Jharkhand,4225,2428,36,0,189851
2020-07-15,Jharkhand,4562,2485,38,0,196070
2020-07-16,Jharkhand,4783,2513,42,0,203279
2020-07-17,Jharkhand,5096,2577,46,0,208492
2020-07-18,Jharkhand,5385,2656,48,0,212299
2020-07-19,Jharkhand,5552,2718,49,0,215661
2020-07-20,Jharkhand,5777,2835,53,0,222781
2020-07-21,Jharkhand,6195,2942,61,0,230535
2020-07-22,Jharkhand,6682,3048,64,0,236438
2020-07-23,Jharkhand,7164,3254,67,0,243276
2020-07-24,Jharkhand,7564,3354,76,0,248928
2020-07-25,Jharkhand,7841,3521,83,0,253411
2020-07-26,Jharkhand,8349,3704,83,0,259096
2020-07-27,Jharkhand,8803,3805,90,0,264449
2020-07-28,Jharkhand,9563,3984,94,0,272713
2020-07-29,Jharkhand,9894,4061,99,0,277984
2020-07-30,Jharkhand,10399,4176,103,0,286178
2020-07-31,Jharkhand,11314,4343,106,0,294476
2020-08-01,Jharkhand,12104,4513,114,0,307363
2020-08-02,Jharkhand,12559,4682,118,0,316332
2020-08-03,Jharkhand,13500,4794,125,0,339560
2020-08-04,Jharkhand,14070,5199,129,0,345907
2020-08-05,Jharkhand,15048,5826,136,0,351197
2020-08-06,Jharkhand,15756,6594,145,0,358208
2020-08-07,Jharkhand,16482,7491,151,0,367757
2020-08-08,Jharkhand,17468,8325,160,0,374813
2020-08-09,Jharkhand,18156,8998,177,0,380330
2020-08-10,Jharkhand,18786,9748,189,0,387184
2020-08-11,Jharkhand,19469,10555,194,0,394315
2020-08-12,Jharkhand,20257,12197,202,0,402072
2020-08-13,Jharkhand,20950,13013,209,0,411027
2020-08-14,Jharkhand,22125,13678,224,0,442286
2020-08-15,Jharkhand,22672,14181,229,0,448188
2020-08-16,Jharkhand,23224,14747,244,0,455715
2020-08-17,Jharkhand,24067,15348,255,0,473973
2020-08-18,Jharkhand,25333,15709,265,0,502973
2020-08-19,Jharkhand,26300,16566,278,0,516123
2020-08-20,Jharkhand,26938,17320,286,0,523638
2020-08-21,Jharkhand,28196,18372,297,0,539802
2020-08-22,Jharkhand,29103,19186,310,0,553356
