Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-03-24,Manipur,1,0,0,0,
2020-03-25,Manipur,1,0,0,0,
2020-03-26,Manipur,1,0,0,0,
2020-03-27,Manipur,1,0,0,0,
2020-03-28,Manipur,1,0,0,0,
2020-03-29,Manipur,1,0,0,0,
2020-03-30,Manipur,1,0,0,0,
2020-03-31,Manipur,1,0,0,0,
2020-04-01,Manipur,1,0,0,0,
2020-04-02,Manipur,2,0,0,0,
2020-04-03,Manipur,2,0,0,0,
2020-04-04,Manipur,2,0,0,0,
2020-04-05,Manipur,2,0,0,0,
2020-04-06,Manipur,2,1,0,0,
2020-04-07,Manipur,2,1,0,0,
2020-04-08,Manipur,2,1,0,0,
2020-04-09,Manipur,2,1,0,0,
2020-04-10,Manipur,2,1,0,0,
2020-04-11,Manipur,2,1,0,0,
2020-04-12,Manipur,2,1,0,0,
2020-04-13,Manipur,2,1,0,0,
2020-04-14,Manipur,2,1,0,0,276
2020-04-15,Manipur,2,1,0,0,276
2020-04-16,Manipur,2,1,0,0,276
2020-04-17,Manipur,2,1,0,0,311
2020-04-18,Manipur,2,1,0,0,311
2020-04-19,Manipur,2,1,0,0,311
2020-04-20,Manipur,2,2,0,0,311
2020-04-21,Manipur,2,2,0,0,311
2020-04-22,Manipur,2,2,0,0,311
2020-04-23,Manipur,2,2,0,0,311
2020-04-24,Manipur,2,2,0,0,402
2020-04-25,Manipur,2,2,0,0,416
2020-04-26,Manipur,2,2,0,0,416
2020-04-27,Manipur,2,2,0,0,416
2020-04-28,Manipur,2,2,0,0,416
2020-04-29,Manipur,2,2,0,0,416
2020-04-30,Manipur,2,2,0,0,459
2020-05-01,Manipur,2,2,0,0,461
2020-05-02,Manipur,2,2,0,0,468
2020-05-03,Manipur,2,2,0,0,468
2020-05-04,Manipur,2,2,0,0,571
2020-05-05,Manipur,2,2,0,0,571
2020-05-06,Manipur,2,2,0,0,571
2020-05-07,Manipur,2,2,0,0,684
2020-05-08,Manipur,2,2,0,0,756
2020-05-09,Manipur,2,2,0,0,865
2020-05-10,Manipur,2,2,0,0,1096
2020-05-11,Manipur,2,2,0,0,1337
2020-05-12,Manipur,2,2,0,0,1337
2020-05-13,Manipur,2,2,0,0,1706
2020-05-14,Manipur,3,2,0,0,1706
2020-05-15,Manipur,3,2,0,0,1799
2020-05-16,Manipur,7,2,0,0,1900
2020-05-17,Manipur,7,2,0,0,1900
2020-05-18,Manipur,7,2,0,0,2483
2020-05-19,Manipur,9,2,0,0,2483
2020-05-20,Manipur,25,2,0,0,3087
2020-05-21,Manipur,25,2,0,0,3087
2020-05-22,Manipur,26,2,0,0,3721
2020-05-23,Manipur,29,2,0,0,4094
2020-05-24,Manipur,32,4,0,0,4094
2020-05-25,Manipur,36,4,0,0,5041
2020-05-26,Manipur,39,4,0,0,6233
2020-05-27,Manipur,44,4,0,0,6836
2020-05-28,Manipur,55,4,0,0,7758
2020-05-29,Manipur,59,6,0,0,8596
2020-05-30,Manipur,60,6,0,0,8596
2020-05-31,Manipur,71,11,0,0,8596
2020-06-01,Manipur,83,11,0,0,8596
2020-06-02,Manipur,89,14,0,0,8596
2020-06-03,Manipur,108,38,0,0,12454
2020-06-04,Manipur,124,38,0,0,12454
2020-06-05,Manipur,132,38,0,0,14629
2020-06-06,Manipur,157,52,0,0,14629
2020-06-07,Manipur,172,52,0,0,17028
2020-06-08,Manipur,272,58,0,0,17028
2020-06-09,Manipur,304,64,0,0,18612
2020-06-10,Manipur,311,64,0,0,19756
2020-06-11,Manipur,366,73,0,0,20528
2020-06-12,Manipur,385,73,0,0,20528
2020-06-13,Manipur,449,73,0,0,24046
2020-06-14,Manipur,458,91,0,0,25226
2020-06-15,Manipur,490,151,0,0,26458
2020-06-16,Manipur,500,159,0,0,26458
2020-06-17,Manipur,552,192,0,0,29865
2020-06-18,Manipur,606,199,0,0,30476
2020-06-19,Manipur,681,218,0,0,32093
2020-06-20,Manipur,777,232,0,0,32093
2020-06-21,Manipur,841,250,0,0,35943
2020-06-22,Manipur,898,250,0,0,38286
2020-06-23,Manipur,921,258,0,0,40829
2020-06-24,Manipur,970,328,0,0,43477
2020-06-25,Manipur,1056,354,0,0,45253
2020-06-26,Manipur,1075,393,0,0,45253
2020-06-27,Manipur,1092,432,0,0,48220
2020-06-28,Manipur,1185,455,0,0,48220
2020-06-29,Manipur,1227,494,0,0,49882
2020-06-30,Manipur,1234,553,0,0,49882
2020-07-01,Manipur,1260,579,0,0,49882
2020-07-02,Manipur,1279,616,0,0,53030
2020-07-03,Manipur,1316,639,0,0,53608
2020-07-04,Manipur,1325,667,0,0,54483
2020-07-05,Manipur,1366,689,0,0,54483
2020-07-06,Manipur,1390,734,0,0,56584
2020-07-07,Manipur,1430,771,0,0,57769
2020-07-08,Manipur,1435,793,0,0,57769
2020-07-09,Manipur,1450,799,0,0,59740
2020-07-10,Manipur,1582,832,0,0,60887
2020-07-11,Manipur,1593,843,0,0,61897
2020-07-12,Manipur,1609,896,0,0,63534
2020-07-13,Manipur,1626,970,0,0,63534
2020-07-14,Manipur,1672,1020,0,0,63534
2020-07-15,Manipur,1700,1080,0,0,65866
2020-07-16,Manipur,1764,1129,0,0,65866
2020-07-17,Manipur,1800,1163,0,0,68554
2020-07-18,Manipur,1891,1182,0,0,70195
2020-07-19,Manipur,1911,1235,0,0,71016
2020-07-20,Manipur,1925,1320,0,0,71703
2020-07-21,Manipur,2015,1384,0,0,73053
2020-07-22,Manipur,2060,1418,0,0,73866
2020-07-23,Manipur,2115,1460,0,0,74614
2020-07-24,Manipur,2146,1491,0,0,75932
2020-07-25,Manipur,2176,1520,0,0,76992
2020-07-26,Manipur,2235,1521,0,0,78368
2020-07-27,Manipur,2286,1559,0,0,80055
2020-07-28,Manipur,2317,1615,0,0,80603
2020-07-29,Manipur,2458,1653,1,0,83111
2020-07-30,Manipur,2505,1672,4,0,83111
2020-07-31,Manipur,2621,1689,5,0,85441
2020-08-01,Manipur,2756,1699,6,0,85441
2020-08-02,Manipur,2831,1737,7,0,85441
2020-08-03,Manipur,2920,1766,7,0,89403
2020-08-04,Manipur,3018,1814,7,0,90901
2020-08-05,Manipur,3093,1862,7,0,92617
2020-08-06,Manipur,3217,1905,8,0,94808
2020-08-07,Manipur,3466,1926,10,0,96837
2020-08-08,Manipur,3635,1927,11,0,98819
2020-08-09,Manipur,3753,2044,11,0,101230
2020-08-10,Manipur,3853,2122,11,0,103268
2020-08-11,Manipur,3941,2155,12,0,104263
2020-08-12,Manipur,3982,2231,12,0,104263
2020-08-13,Manipur,4112,2295,13,0,107469
2020-08-14,Manipur,4198,2360,13,0,110026
2020-08-15,Manipur,4390,2438,13,0,112780
2020-08-16,Manipur,4569,2632,16,0,115041
2020-08-17,Manipur,4687,2734,17,0,115041
2020-08-18,Manipur,4765,2789,18,0,117299
2020-08-19,Manipur,4876,2885,18,0,120135
2020-08-20,Manipur,4925,3002,18,0,122778
2020-08-21,Manipur,5049,3261,20,0,125230
2020-08-22,Manipur,5132,3455,22,0,128468
2020-08-23,Manipur,5246,3616,22,0,131709
2020-08-24,Manipur,5362,3713,22,0,135399
2020-08-25,Manipur,5444,3812,24,0,137384
2020-08-26,Manipur,5585,3829,25,0,140610
2020-08-27,Manipur,5725,3957,25,0,142813
2020-08-28,Manipur,5843,4057,27,0,146140
2020-08-29,Manipur,5960,4186,28,0,149155
2020-08-30,Manipur,6112,4239,28,0,152229
2020-08-31,Manipur,6252,4330,28,0,155216
2020-09-01,Manipur,6382,4450,29,0,158098
2020-09-02,Manipur,6507,4607,29,0,160871
2020-09-03,Manipur,6609,4774,32,0,160871
2020-09-04,Manipur,6699,4899,35,0,160871
2020-09-05,Manipur,6883,4975,36,0,169093
2020-09-06,Manipur,7022,5164,38,0,172650
2020-09-07,Manipur,7106,5358,38,0,174731
2020-09-08,Manipur,7202,5484,39,0,177002
2020-09-09,Manipur,7362,5548,40,0,177002
2020-09-10,Manipur,7470,5793,44,0,183083
2020-09-11,Manipur,7579,6002,44,0,185925
2020-09-12,Manipur,7731,6102,45,0,188526
2020-09-13,Manipur,7875,6191,46,0,190914
2020-09-14,Manipur,7971,6340,46,0,193048
2020-09-15,Manipur,8210,6418,47,0,196010
2020-09-16,Manipur,8320,6521,48,0,198837
2020-09-17,Manipur,8430,6539,51,0,201670
2020-09-18,Manipur,8607,6629,52,0,204871
2020-09-19,Manipur,8724,6723,55,0,206986
2020-09-20,Manipur,8894,6767,57,0,209863
2020-09-21,Manipur,9010,6838,59,0,212175
2020-09-22,Manipur,9280,6887,60,0,215614
2020-09-23,Manipur,9376,7108,62,0,217880
2020-09-24,Manipur,9537,7369,62,0,221490
2020-09-25,Manipur,9791,7602,63,0,225166
2020-09-26,Manipur,10051,7681,64,0,228546
2020-09-27,Manipur,10299,7876,64,0,231305
2020-09-28,Manipur,10477,7982,64,0,234066
2020-09-29,Manipur,10746,8039,65,0,238516
2020-09-30,Manipur,10983,8460,67,0,241648
2020-10-01,Manipur,11111,8641,68,0,243870
2020-10-02,Manipur,11397,8992,69,0,246769
2020-10-03,Manipur,11649,9081,71,0,250089
2020-10-04,Manipur,11855,9205,74,0,252437
2020-10-05,Manipur,12105,9334,75,0,254209
2020-10-06,Manipur,12240,9482,78,0,256590
2020-10-07,Manipur,12489,9604,80,0,259735
2020-10-08,Manipur,12679,9719,83,0,271941
2020-10-09,Manipur,12810,9866,86,0,283615
2020-10-10,Manipur,13092,10306,88,0,288908
2020-10-11,Manipur,13326,10504,91,0,292263
2020-10-12,Manipur,13556,10707,93,0,304487
2020-10-13,Manipur,13793,10829,97,0,306863
2020-10-14,Manipur,14094,10915,103,0,306863
2020-10-15,Manipur,14378,11081,104,0,311269
2020-10-16,Manipur,14715,11245,109,0,313601
2020-10-17,Manipur,15141,11443,111,0,318036
2020-10-18,Manipur,15463,11741,116,0,320798
2020-10-19,Manipur,15778,11913,117,0,322852
2020-10-20,Manipur,16062,12059,121,0,325782
2020-10-21,Manipur,16276,12197,124,0,327918
2020-10-22,Manipur,16621,12393,127,0,327918
2020-10-23,Manipur,16777,12562,132,0,333718
2020-10-24,Manipur,17022,12719,138,0,335995
2020-10-25,Manipur,17160,12857,139,0,337820
2020-10-26,Manipur,17424,13057,144,0,337820
2020-10-27,Manipur,17604,13208,150,0,342491
2020-10-28,Manipur,17809,13420,156,0,342491
2020-10-29,Manipur,18051,13583,160,0,347026
2020-10-30,Manipur,18272,13805,164,0,347026
2020-10-31,Manipur,18502,14862,168,0,351953
2020-11-01,Manipur,18750,15065,171,0,354210
2020-11-02,Manipur,19091,15343,180,0,357004
2020-11-03,Manipur,19241,15460,184,0,358887
2020-11-04,Manipur,19503,15618,187,0,361324
2020-11-05,Manipur,19725,15750,189,0,361324
2020-11-06,Manipur,19891,16092,191,0,366212
2020-11-07,Manipur,20131,16714,194,0,368087
2020-11-08,Manipur,20376,17072,197,0,370815
2020-11-09,Manipur,20558,17259,198,0,372932
2020-11-10,Manipur,20777,17534,200,0,372932
2020-11-11,Manipur,20957,17698,202,0,377804
2020-11-12,Manipur,21211,17889,207,0,380271
2020-11-13,Manipur,21425,18144,213,0,382429
2020-11-14,Manipur,21636,18334,218,0,384235
2020-11-15,Manipur,21871,18593,221,0,384235
2020-11-16,Manipur,22049,18832,224,0,388588
2020-11-17,Manipur,22208,19065,225,0,390552
2020-11-18,Manipur,22318,19259,231,0,391911
