Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-04-13,Meghalaya,1,0,0,0,
2020-04-14,Meghalaya,1,0,0,0,
2020-04-15,Meghalaya,7,0,1,0,
2020-04-16,Meghalaya,9,0,1,0,552
2020-04-17,Meghalaya,9,0,1,0,617
2020-04-18,Meghalaya,11,0,1,0,738
2020-04-19,Meghalaya,11,0,1,0,766
2020-04-20,Meghalaya,11,0,1,0,838
2020-04-21,Meghalaya,12,0,1,0,933
2020-04-22,Meghalaya,12,0,1,0,1046
2020-04-23,Meghalaya,12,0,1,0,1109
2020-04-24,Meghalaya,12,0,1,0,1130
2020-04-25,Meghalaya,12,0,1,0,1169
2020-04-26,Meghalaya,12,0,1,0,1169
2020-04-27,Meghalaya,12,0,1,0,1254
2020-04-28,Meghalaya,12,0,1,0,1382
2020-04-29,Meghalaya,12,0,1,0,1397
2020-04-30,Meghalaya,12,0,1,0,1595
2020-05-01,Meghalaya,12,10,1,0,1595
2020-05-02,Meghalaya,12,10,1,0,1707
2020-05-03,Meghalaya,12,10,1,0,1707
2020-05-04,Meghalaya,12,10,1,0,1884
2020-05-05,Meghalaya,12,10,1,0,1944
2020-05-06,Meghalaya,12,10,1,0,1944
2020-05-07,Meghalaya,12,10,1,0,2054
2020-05-08,Meghalaya,12,10,1,0,2054
2020-05-09,Meghalaya,13,10,1,0,2287
2020-05-10,Meghalaya,13,10,1,0,2287
2020-05-11,Meghalaya,13,10,1,0,2480
2020-05-12,Meghalaya,13,10,1,0,2480
2020-05-13,Meghalaya,13,11,1,0,2480
2020-05-14,Meghalaya,13,11,1,0,2480
2020-05-15,Meghalaya,13,11,1,0,2712
2020-05-16,Meghalaya,13,11,1,0,2712
2020-05-17,Meghalaya,13,11,1,0,2712
2020-05-18,Meghalaya,13,12,1,0,2896
2020-05-19,Meghalaya,13,12,1,0,3104
2020-05-20,Meghalaya,14,12,1,0,3419
2020-05-21,Meghalaya,14,12,1,0,3419
2020-05-22,Meghalaya,14,12,1,0,3682
2020-05-23,Meghalaya,14,12,1,0,3682
2020-05-24,Meghalaya,14,12,1,0,3682
2020-05-25,Meghalaya,15,12,1,0,3682
2020-05-26,Meghalaya,20,12,1,0,6553
2020-05-27,Meghalaya,20,12,1,0,6685
2020-05-28,Meghalaya,21,12,1,0,6685
2020-05-29,Meghalaya,27,12,1,0,6685
2020-05-30,Meghalaya,27,12,1,0,6685
2020-05-31,Meghalaya,27,12,1,0,7781
2020-06-01,Meghalaya,28,12,1,0,8127
2020-06-02,Meghalaya,30,12,1,0,8734
2020-06-03,Meghalaya,33,13,1,0,9025
2020-06-04,Meghalaya,33,13,1,0,9395
2020-06-05,Meghalaya,33,13,1,0,9592
2020-06-06,Meghalaya,33,13,1,0,10066
