Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-04-06,Nagaland,0,0,0,0,60
2020-04-07,Nagaland,0,0,0,0,60
2020-04-08,Nagaland,0,0,0,0,60
2020-04-09,Nagaland,0,0,0,0,60
2020-04-10,Nagaland,0,0,0,0,70
2020-04-11,Nagaland,0,0,0,0,70
2020-04-12,Nagaland,0,0,0,0,74
2020-04-13,Nagaland,0,0,0,0,74
2020-04-14,Nagaland,0,0,0,0,174
2020-04-15,Nagaland,0,0,0,0,184
2020-04-16,Nagaland,0,0,0,0,184
2020-04-17,Nagaland,0,0,0,0,274
2020-04-18,Nagaland,0,0,0,0,392
2020-04-19,Nagaland,0,0,0,0,404
2020-04-20,Nagaland,0,0,0,0,434
2020-04-21,Nagaland,0,0,0,0,537
2020-04-22,Nagaland,0,0,0,0,543
2020-04-23,Nagaland,0,0,0,0,607
2020-04-24,Nagaland,0,0,0,0,607
2020-04-25,Nagaland,0,0,0,0,613
2020-04-26,Nagaland,0,0,0,0,613
2020-04-27,Nagaland,0,0,0,0,629
2020-04-28,Nagaland,0,0,0,0,639
2020-04-29,Nagaland,0,0,0,0,644
2020-04-30,Nagaland,0,0,0,0,653
2020-05-01,Nagaland,0,0,0,0,664
2020-05-02,Nagaland,0,0,0,0,674
2020-05-03,Nagaland,0,0,0,0,684
2020-05-04,Nagaland,0,0,0,0,708
2020-05-05,Nagaland,0,0,0,0,724
2020-05-06,Nagaland,0,0,0,0,763
2020-05-07,Nagaland,0,0,0,0,786
2020-05-08,Nagaland,0,0,0,0,805
2020-05-09,Nagaland,0,0,0,0,848
2020-05-10,Nagaland,0,0,0,0,862
2020-05-11,Nagaland,0,0,0,0,875
2020-05-12,Nagaland,0,0,0,0,882
2020-05-13,Nagaland,0,0,0,0,889
2020-05-14,Nagaland,0,0,0,0,891
2020-05-15,Nagaland,0,0,0,0,910
2020-05-16,Nagaland,0,0,0,0,917
2020-05-17,Nagaland,0,0,0,0,952
2020-05-18,Nagaland,0,0,0,0,961
2020-05-19,Nagaland,0,0,0,0,978
2020-05-20,Nagaland,0,0,0,0,985
2020-05-21,Nagaland,0,0,0,0,1001
2020-05-22,Nagaland,0,0,0,0,1035
2020-05-23,Nagaland,0,0,0,0,1065
2020-05-24,Nagaland,0,0,0,0,1097
2020-05-25,Nagaland,3,0,0,0,1366
2020-05-26,Nagaland,4,0,0,0,1366
2020-05-27,Nagaland,9,0,0,0,1554
2020-05-28,Nagaland,18,0,0,0,1765
2020-05-29,Nagaland,25,0,0,0,1997
2020-05-30,Nagaland,36,0,0,0,2210
2020-05-31,Nagaland,43,0,0,0,2576
2020-06-01,Nagaland,43,0,0,0,2870
2020-06-02,Nagaland,49,0,0,0,3257
2020-06-03,Nagaland,58,0,0,0,3414
2020-06-04,Nagaland,80,0,0,0,3739
2020-06-05,Nagaland,107,0,0,0,3974
2020-06-06,Nagaland,107,8,0,0,4061
2020-06-07,Nagaland,116,8,0,0,4371
2020-06-08,Nagaland,122,8,0,0,4729
2020-06-09,Nagaland,127,10,0,0,4896
2020-06-10,Nagaland,128,22,0,0,5220
2020-06-11,Nagaland,130,29,0,0,5667
2020-06-12,Nagaland,156,57,0,0,6104
2020-06-13,Nagaland,163,84,0,0,6466
2020-06-14,Nagaland,173,88,0,0,6478
2020-06-15,Nagaland,177,88,0,0,7132
2020-06-16,Nagaland,179,103,0,0,7835
2020-06-17,Nagaland,193,103,0,0,8387
2020-06-18,Nagaland,193,109,0,0,9039
2020-06-19,Nagaland,198,125,0,0,10102
2020-06-20,Nagaland,201,138,0,0,9128
2020-06-21,Nagaland,211,141,0,0,9971
2020-06-22,Nagaland,280,141,0,0,10599
2020-06-23,Nagaland,330,141,0,0,11173
2020-06-24,Nagaland,347,148,0,0,11867
2020-06-25,Nagaland,355,160,0,0,12546
2020-06-26,Nagaland,371,162,0,0,13085
2020-06-27,Nagaland,387,164,0,0,14217
2020-06-28,Nagaland,415,164,0,0,15240
2020-06-29,Nagaland,451,168,0,0,15905
2020-06-30,Nagaland,459,168,0,0,16563
2020-07-01,Nagaland,501,182,0,0,17177
2020-07-02,Nagaland,535,197,0,0,17887
2020-07-03,Nagaland,539,228,0,0,18635
2020-07-04,Nagaland,563,228,0,0,19263
2020-07-05,Nagaland,590,231,0,0,19867
2020-07-06,Nagaland,625,243,0,0,20484
2020-07-07,Nagaland,644,303,0,0,21209
2020-07-08,Nagaland,657,304,0,0,21980
2020-07-09,Nagaland,673,304,0,0,22697
2020-07-10,Nagaland,732,304,0,0,23402
2020-07-11,Nagaland,748,313,0,0,24065
2020-07-12,Nagaland,774,327,0,0,24985
2020-07-13,Nagaland,845,340,0,0,26151
2020-07-14,Nagaland,896,346,0,0,26927
2020-07-15,Nagaland,902,348,0,0,27421
2020-07-16,Nagaland,916,391,0,0,28020
2020-07-17,Nagaland,956,405,0,0,28472
2020-07-18,Nagaland,978,432,0,0,29092
2020-07-19,Nagaland,988,445,0,0,29326
2020-07-20,Nagaland,1021,484,0,0,29994
2020-07-21,Nagaland,1030,485,0,0,30574
2020-07-22,Nagaland,1084,486,0,0,31503
2020-07-23,Nagaland,1174,530,0,0,32169
2020-07-24,Nagaland,1239,537,1,0,32909
2020-07-25,Nagaland,1289,541,4,0,33704
2020-07-26,Nagaland,1339,549,4,0,34389
2020-07-27,Nagaland,1385,569,5,0,34968
2020-07-28,Nagaland,1460,577,4,1,35676
2020-07-29,Nagaland,1513,595,4,1,36355
2020-07-30,Nagaland,1566,625,4,2,37156
2020-07-31,Nagaland,1693,635,4,2,37895
2020-08-01,Nagaland,1831,640,4,4,38634
2020-08-02,Nagaland,1935,648,4,4,39292
2020-08-03,Nagaland,2129,657,4,4,40293
2020-08-04,Nagaland,2405,659,4,4,41367
2020-08-05,Nagaland,2498,685,6,3,42029
2020-08-06,Nagaland,2580,819,6,3,42900
2020-08-07,Nagaland,2657,824,7,2,43911
2020-08-08,Nagaland,2688,893,7,3,44566
2020-08-09,Nagaland,2781,904,8,3,45564
2020-08-10,Nagaland,3011,973,8,3,46518
2020-08-11,Nagaland,3031,985,7,7,47008
2020-08-12,Nagaland,3118,1113,7,7,47939
2020-08-13,Nagaland,3168,1139,7,7,48445
2020-08-14,Nagaland,3322,1198,7,7,49534
2020-08-15,Nagaland,3340,1321,7,7,50200
2020-08-16,Nagaland,3394,1422,7,7,50946
2020-08-17,Nagaland,3455,1530,7,7,51483
2020-08-18,Nagaland,3520,1664,7,7,52139
2020-08-19,Nagaland,3558,1706,7,7,52672
2020-08-20,Nagaland,3583,1921,7,7,54047
2020-08-21,Nagaland,3619,2074,7,7,54660
2020-08-22,Nagaland,3635,2166,8,8,55479
2020-08-23,Nagaland,3686,2294,8,8,56340
2020-08-24,Nagaland,3714,2396,8,9,56901
2020-08-25,Nagaland,3752,2611,8,10,57426
2020-08-26,Nagaland,3778,2611,8,10,58053
2020-08-27,Nagaland,3784,2735,8,10,58431
2020-08-28,Nagaland,3805,2850,8,10,58782
2020-08-29,Nagaland,3851,2908,8,10,59413
2020-08-30,Nagaland,3922,3017,8,10,60225
2020-08-31,Nagaland,3950,3058,8,10,60865
2020-09-01,Nagaland,4003,3191,8,10,61539
2020-09-02,Nagaland,4017,3213,8,11,62404
2020-09-03,Nagaland,4066,3314,8,12,63159
2020-09-04,Nagaland,4107,3351,8,12,64092
2020-09-05,Nagaland,4128,3419,8,12,64803
2020-09-06,Nagaland,4178,3496,8,12,65555
2020-09-07,Nagaland,4220,3674,8,13,66061
2020-09-08,Nagaland,4245,3728,8,13,66444
2020-09-09,Nagaland,4375,3776,8,13,67268
2020-09-10,Nagaland,4636,3781,8,13,68141
2020-09-11,Nagaland,4946,3791,8,13,69050
2020-09-12,Nagaland,5064,3822,8,13,69666
2020-09-13,Nagaland,5083,3883,8,20,70171
2020-09-14,Nagaland,5214,3897,8,20,70622
2020-09-15,Nagaland,5229,3927,10,23,70994
2020-09-16,Nagaland,5263,3968,10,24,71631
2020-09-17,Nagaland,5306,4079,10,24,72077
2020-09-18,Nagaland,5357,4108,10,26,72596
2020-09-19,Nagaland,5392,4150,10,26,72807
2020-09-20,Nagaland,5451,4228,10,29,73611
2020-09-21,Nagaland,5544,4451,10,31,74423
2020-09-22,Nagaland,5604,4491,10,31,74978
2020-09-23,Nagaland,5671,4509,11,32,75435
2020-09-24,Nagaland,5730,4598,11,33,76072
2020-09-25,Nagaland,5768,4693,11,37,76682
2020-09-26,Nagaland,5862,4782,11,42,77364
2020-09-27,Nagaland,5946,4848,11,45,77953
2020-09-28,Nagaland,5957,4897,12,46,78280
2020-09-29,Nagaland,6040,4942,12,49,78853
2020-09-30,Nagaland,6163,5025,12,51,79713
2020-10-01,Nagaland,6244,5099,12,55,80426
2020-10-02,Nagaland,6318,5166,12,55,81109
2020-10-03,Nagaland,6429,5212,12,55,81538
2020-10-04,Nagaland,6552,5263,12,56,81989
2020-10-05,Nagaland,6594,5377,12,56,82417
2020-10-06,Nagaland,6662,5414,12,57,82968
2020-10-07,Nagaland,6715,5450,12,59,83560
2020-10-08,Nagaland,6736,5516,12,59,84033
2020-10-09,Nagaland,6888,5608,12,59,84777
2020-10-10,Nagaland,6949,5641,12,64,85196
2020-10-11,Nagaland,7019,5690,12,64,85973
2020-10-12,Nagaland,7240,5760,13,64,87014
2020-10-13,Nagaland,7363,5778,14,66,87666
2020-10-14,Nagaland,7416,5860,17,66,88447
2020-10-15,Nagaland,7492,5960,17,67,88459
2020-10-16,Nagaland,7604,6051,17,70,89203
2020-10-17,Nagaland,7698,6077,21,71,89735
2020-10-18,Nagaland,7816,6142,21,71,90407
2020-10-19,Nagaland,7953,6208,21,72,91154
2020-10-20,Nagaland,8020,6268,21,72,91678
2020-10-21,Nagaland,8139,6361,21,72,92889
2020-10-22,Nagaland,8296,6400,21,72,93381
2020-10-23,Nagaland,8436,6501,21,72,93929
2020-10-24,Nagaland,8515,6598,24,78,94496
2020-10-25,Nagaland,8626,6653,25,83,95168
2020-10-26,Nagaland,8700,6720,33,83,95524
2020-10-27,Nagaland,8763,6755,33,73,95968
2020-10-28,Nagaland,8824,6869,34,81,96714
2020-10-29,Nagaland,8894,7019,35,82,97298
2020-10-30,Nagaland,8945,7229,39,81,97719
2020-10-31,Nagaland,9047,7375,39,81,98271
2020-11-01,Nagaland,9075,7454,39,83,98575
2020-11-02,Nagaland,9096,7606,42,85,98836
2020-11-03,Nagaland,9151,7786,42,85,99362
2020-11-04,Nagaland,9207,7934,44,86,100002
2020-11-05,Nagaland,9264,8078,45,86,100534
2020-11-06,Nagaland,9327,8195,45,90,102234
2020-11-07,Nagaland,9455,8249,45,90,102862
2020-11-08,Nagaland,9474,8350,46,93,101801
2020-11-09,Nagaland,9503,8423,46,93,102210
2020-11-10,Nagaland,9536,8505,50,95,102562
2020-11-11,Nagaland,9578,8595,50,95,103037
2020-11-12,Nagaland,9615,8683,50,96,103513
2020-11-13,Nagaland,9638,8764,52,96,103856
2020-11-14,Nagaland,9750,8794,52,99,104157
2020-11-15,Nagaland,9885,8814,52,103,104878
2020-11-16,Nagaland,10025,8860,53,103,105213
2020-11-17,Nagaland,10188,8897,53,104,124809
2020-11-18,Nagaland,10188,8897,53,104,106738
