Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-03-16,Odisha,1,0,0,0,
2020-03-17,Odisha,1,0,0,0,
2020-03-18,Odisha,1,0,0,0,
2020-03-19,Odisha,2,0,0,0,
2020-03-20,Odisha,2,0,0,0,
2020-03-21,Odisha,2,0,0,0,
2020-03-22,Odisha,2,0,0,0,
2020-03-23,Odisha,2,0,0,0,
2020-03-24,Odisha,2,0,0,0,
2020-03-25,Odisha,2,0,0,0,
2020-03-26,Odisha,3,0,0,0,
2020-03-27,Odisha,3,0,0,0,
2020-03-28,Odisha,3,0,0,0,
2020-03-29,Odisha,3,0,0,0,
2020-03-30,Odisha,3,0,0,0,
2020-03-31,Odisha,4,0,0,0,
2020-04-01,Odisha,5,1,0,0,
2020-04-02,Odisha,5,1,0,0,
2020-04-03,Odisha,20,2,0,0,1395
2020-04-04,Odisha,21,2,0,0,1395
2020-04-05,Odisha,39,2,0,0,1395
2020-04-06,Odisha,40,2,0,0,1395
2020-04-07,Odisha,42,2,1,0,2441
2020-04-08,Odisha,42,2,1,0,2441
2020-04-09,Odisha,48,2,1,0,3249
2020-04-10,Odisha,50,12,1,0,3547
2020-04-11,Odisha,54,12,1,0,3551
2020-04-12,Odisha,54,12,1,0,3862
2020-04-13,Odisha,55,18,1,0,4170
2020-04-14,Odisha,60,18,1,0,4734
2020-04-15,Odisha,60,19,1,0,5537
2020-04-16,Odisha,60,19,1,0,6734
2020-04-17,Odisha,60,21,1,0,7577
2020-04-18,Odisha,61,24,1,0,8619
2020-04-19,Odisha,61,24,1,0,9690
2020-04-20,Odisha,74,24,1,0,10641
2020-04-21,Odisha,79,30,1,0,11748
2020-04-22,Odisha,83,32,1,0,13775
2020-04-23,Odisha,89,33,1,0,15984
2020-04-24,Odisha,94,33,1,0,18458
2020-04-25,Odisha,100,34,1,0,20599
2020-04-26,Odisha,103,35,1,0,22816
2020-04-27,Odisha,118,37,1,0,25103
2020-04-28,Odisha,118,38,1,0,26687
2020-04-29,Odisha,125,39,1,0,29108
2020-04-30,Odisha,143,41,1,0,31696
2020-05-01,Odisha,154,55,1,0,34133
2020-05-02,Odisha,160,56,1,0,36593
2020-05-03,Odisha,162,60,1,0,38658
2020-05-04,Odisha,169,60,1,0,41128
2020-05-05,Odisha,177,60,2,0,44663
2020-05-06,Odisha,205,61,2,0,47454
2020-05-07,Odisha,219,62,2,0,50514
2020-05-08,Odisha,270,63,2,0,52974
2020-05-09,Odisha,352,68,3,0,56322
2020-05-10,Odisha,377,68,3,0,59780
2020-05-11,Odisha,415,85,3,0,63478
2020-05-12,Odisha,437,116,3,0,68057
2020-05-13,Odisha,538,143,3,0,72756
2020-05-14,Odisha,672,158,3,0,77150
2020-05-15,Odisha,737,166,3,0,81919
2020-05-16,Odisha,737,196,3,0,86140
2020-05-17,Odisha,828,220,4,0,91223
