Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-05-04,Sikkim,0,0,0,0,170
2020-05-05,Sikkim,0,0,0,0,181
2020-05-06,Sikkim,0,0,0,0,189
2020-05-07,Sikkim,0,0,0,0,216
2020-05-08,Sikkim,0,0,0,0,216
2020-05-09,Sikkim,0,0,0,0,219
2020-05-10,Sikkim,0,0,0,0,219
2020-05-11,Sikkim,0,0,0,0,219
2020-05-12,Sikkim,0,0,0,0,348
2020-05-13,Sikkim,0,0,0,0,439
2020-05-14,Sikkim,0,0,0,0,579
2020-05-15,Sikkim,0,0,0,0,348
2020-05-16,Sikkim,0,0,0,0,840
2020-05-17,Sikkim,0,0,0,0,947
2020-05-18,Sikkim,0,0,0,0,1087
2020-05-19,Sikkim,0,0,0,0,1204
2020-05-20,Sikkim,0,0,0,0,1342
2020-05-21,Sikkim,0,0,0,0,1342
2020-05-22,Sikkim,0,0,0,0,1637
2020-05-23,Sikkim,1,0,0,0,1707
2020-05-24,Sikkim,1,0,0,0,1855
2020-05-25,Sikkim,1,0,0,0,2103
2020-05-26,Sikkim,1,0,0,0,2255
2020-05-27,Sikkim,1,0,0,0,2417
2020-05-28,Sikkim,1,0,0,0,2626
2020-05-29,Sikkim,1,0,0,0,2759
2020-05-30,Sikkim,1,0,0,0,2829
2020-05-31,Sikkim,1,0,0,0,2925
2020-06-01,Sikkim,1,0,0,0,3525
2020-06-02,Sikkim,1,0,0,0,3788
2020-06-03,Sikkim,2,0,0,0,4102
2020-06-04,Sikkim,2,0,0,0,4358
2020-06-05,Sikkim,3,0,0,0,4761
2020-06-06,Sikkim,7,0,0,0,5005
2020-06-07,Sikkim,7,0,0,0,5005
2020-06-08,Sikkim,7,0,0,0,5547
2020-06-09,Sikkim,13,3,0,0,5815
2020-06-10,Sikkim,13,3,0,0,6161
2020-06-11,Sikkim,13,3,0,0,6692
2020-06-12,Sikkim,63,3,0,0,5157
2020-06-13,Sikkim,63,4,0,0,5377
2020-06-14,Sikkim,68,4,0,0,5664
2020-06-15,Sikkim,68,4,0,0,5762
2020-06-16,Sikkim,68,4,0,0,6192
2020-06-17,Sikkim,70,4,0,0,6349
2020-06-18,Sikkim,70,5,0,0,6349
2020-06-19,Sikkim,70,21,0,0,6882
2020-06-20,Sikkim,70,21,0,0,7183
2020-06-21,Sikkim,78,25,0,0,9354
2020-06-22,Sikkim,78,29,0,0,9449
2020-06-23,Sikkim,79,29,0,0,9594
2020-06-24,Sikkim,83,39,0,0,9849
2020-06-25,Sikkim,85,39,0,0,10025
2020-06-26,Sikkim,87,39,0,0,10212
2020-06-27,Sikkim,87,49,0,0,10219
2020-06-28,Sikkim,88,49,0,0,10364
2020-06-29,Sikkim,88,49,0,0,10440
2020-06-30,Sikkim,88,50,0,0,10535
2020-07-01,Sikkim,89,52,0,0,10723
2020-07-02,Sikkim,101,52,0,0,10900
2020-07-03,Sikkim,102,52,0,0,11072
2020-07-04,Sikkim,103,52,0,0,11242
2020-07-05,Sikkim,125,61,0,13,11387
2020-07-06,Sikkim,125,65,0,13,11407
2020-07-07,Sikkim,127,65,0,13,11581
2020-07-08,Sikkim,133,71,0,13,11820
2020-07-09,Sikkim,134,71,0,13,12012
2020-07-10,Sikkim,121,80,0,0,12119
2020-07-11,Sikkim,147,80,0,0,12246
2020-07-12,Sikkim,151,81,0,0,12531
2020-07-13,Sikkim,153,87,0,0,12636
2020-07-14,Sikkim,198,86,0,0,12939
2020-07-15,Sikkim,209,87,0,0,13352
2020-07-16,Sikkim,222,87,0,0,13762
2020-07-17,Sikkim,254,88,0,0,14373
2020-07-18,Sikkim,273,90,0,0,15139
2020-07-19,Sikkim,283,90,0,0,15957
2020-07-20,Sikkim,305,92,0,0,16906
2020-07-21,Sikkim,330,108,0,0,17564
2020-07-22,Sikkim,438,112,0,0,19484
2020-07-23,Sikkim,460,122,0,0,20050
2020-07-24,Sikkim,477,137,0,0,20785
2020-07-25,Sikkim,499,142,0,0,21272
2020-07-26,Sikkim,545,147,1,0,21272
2020-07-27,Sikkim,555,174,1,0,22410
2020-07-28,Sikkim,579,186,1,0,22993
2020-07-29,Sikkim,596,198,1,0,23637
2020-07-30,Sikkim,610,214,1,0,24150
2020-07-31,Sikkim,639,231,1,0,24939
2020-08-01,Sikkim,650,269,1,0,25916
2020-08-02,Sikkim,658,289,1,0,26473
2020-08-03,Sikkim,688,297,1,0,27115
2020-08-04,Sikkim,783,299,1,0,28089
2020-08-05,Sikkim,800,303,1,0,29035
2020-08-06,Sikkim,829,353,1,0,29467
2020-08-07,Sikkim,854,406,1,0,29958
2020-08-08,Sikkim,860,417,1,0,30533
2020-08-09,Sikkim,866,497,1,0,30732
2020-08-10,Sikkim,910,510,1,0,31193
2020-08-11,Sikkim,913,534,1,0,31604
2020-08-12,Sikkim,930,550,1,0,31974
2020-08-13,Sikkim,931,581,1,0,32421
2020-08-14,Sikkim,1080,623,1,0,32762
2020-08-15,Sikkim,1148,661,1,0,32926
2020-08-16,Sikkim,1167,673,1,0,33810
2020-08-17,Sikkim,1187,701,1,0,34813
2020-08-18,Sikkim,1207,755,2,0,34553
2020-08-19,Sikkim,1232,789,3,0,35062
2020-08-20,Sikkim,1290,827,3,0,35449
2020-08-21,Sikkim,1336,834,3,0,36111
2020-08-22,Sikkim,1381,871,3,0,36744
2020-08-23,Sikkim,1403,871,3,0,36744
2020-08-24,Sikkim,1446,934,3,0,37798
2020-08-25,Sikkim,1475,1054,3,0,38296
2020-08-26,Sikkim,1486,1076,3,0,38951
2020-08-27,Sikkim,1542,1151,3,0,38951
2020-08-28,Sikkim,1576,1184,3,0,40035
2020-08-29,Sikkim,1602,1195,3,0,40515
2020-08-30,Sikkim,1627,1220,3,0,41069
2020-08-31,Sikkim,1652,1225,3,0,41270
2020-09-01,Sikkim,1670,1237,4,0,41558
2020-09-02,Sikkim,1704,1260,4,0,42019
2020-09-03,Sikkim,1738,1304,5,0,42331
2020-09-04,Sikkim,1843,1321,5,8,42772
2020-09-05,Sikkim,1901,1347,5,0,43125
2020-09-06,Sikkim,1910,1371,5,0,43345
2020-09-07,Sikkim,1939,1396,5,0,43661
2020-09-08,Sikkim,1958,1413,7,0,43828
2020-09-09,Sikkim,1989,1429,7,0,44122
2020-09-10,Sikkim,2009,1470,7,0,44323
2020-09-11,Sikkim,2026,1486,11,0,44520
2020-09-12,Sikkim,2055,1503,13,0,44790
2020-09-13,Sikkim,2086,1505,16,0,45075
2020-09-14,Sikkim,2119,1521,16,0,45210
2020-09-15,Sikkim,2173,1690,19,0,45502
2020-09-16,Sikkim,2221,1722,19,0,45762
2020-09-17,Sikkim,2274,1789,23,0,46065
2020-09-18,Sikkim,2303,1857,26,0,46292
2020-09-19,Sikkim,2342,1891,28,0,46690
2020-09-20,Sikkim,2391,1894,29,0,47044
2020-09-21,Sikkim,2447,1905,29,0,47269
2020-09-22,Sikkim,2513,1928,29,0,47530
2020-09-23,Sikkim,2548,1942,30,0,47893
2020-09-24,Sikkim,2612,1973,31,0,48291
2020-09-25,Sikkim,2704,1994,31,0,48655
2020-09-26,Sikkim,2752,2016,31,0,49099
2020-09-27,Sikkim,2790,2065,33,0,49338
2020-09-28,Sikkim,2815,2083,35,0,49495
2020-09-29,Sikkim,2856,2154,35,0,49858
2020-09-30,Sikkim,2931,2222,37,0,50232
2020-10-01,Sikkim,2969,2294,40,0,50654
2020-10-02,Sikkim,3011,2328,41,0,50987
2020-10-03,Sikkim,3050,2367,43,0,51333
2020-10-04,Sikkim,3093,2399,45,0,51634
2020-10-05,Sikkim,3110,2466,46,0,51741
2020-10-06,Sikkim,3135,2506,49,0,51935
2020-10-07,Sikkim,3234,2534,51,81,51991
2020-10-08,Sikkim,3246,2569,52,81,52043
2020-10-09,Sikkim,3279,2640,54,81,52383
2020-10-10,Sikkim,3321,2735,55,81,52682
2020-10-11,Sikkim,3360,2839,56,81,52906
2020-10-12,Sikkim,3367,2844,57,81,52944
2020-10-13,Sikkim,3417,2933,59,81,53180
2020-10-14,Sikkim,3459,2994,59,81,53417
2020-10-15,Sikkim,3500,3048,59,81,53635
2020-10-16,Sikkim,3531,3096,59,81,53814
2020-10-17,Sikkim,3567,3152,59,81,54107
2020-10-18,Sikkim,3597,3184,60,81,54282
2020-10-19,Sikkim,3601,3195,62,81,54310
2020-10-20,Sikkim,3643,3245,63,81,54631
2020-10-21,Sikkim,3677,3280,63,81,54836
2020-10-22,Sikkim,3727,3328,63,82,54836
2020-10-23,Sikkim,3770,3383,63,82,55320
2020-10-24,Sikkim,3819,3408,63,82,55611
2020-10-25,Sikkim,3835,3443,64,82,55797
2020-10-26,Sikkim,3840,3448,65,82,55817
2020-10-27,Sikkim,3863,3452,67,82,55898
2020-10-28,Sikkim,3875,3463,67,82,56022
2020-10-29,Sikkim,3893,3476,67,82,56150
2020-10-30,Sikkim,3913,3509,67,82,56319
2020-10-31,Sikkim,3940,3535,68,82,56566
2020-11-01,Sikkim,3958,3569,69,82,56699
2020-11-02,Sikkim,3967,3573,73,82,56731
2020-11-03,Sikkim,4004,3578,73,82,56938
2020-11-04,Sikkim,4066,3657,73,83,57243
2020-11-05,Sikkim,4095,3695,75,83,57421
2020-11-06,Sikkim,4144,3702,75,83,57670
2020-11-07,Sikkim,4195,3721,76,84,57963
2020-11-08,Sikkim,4245,3810,78,84,58173
2020-11-09,Sikkim,4257,3826,79,84,58224
2020-11-10,Sikkim,4308,3839,80,84,58540
2020-11-11,Sikkim,4344,3887,82,84,58792
2020-11-12,Sikkim,4369,3935,85,84,58984
2020-11-13,Sikkim,4416,3952,86,84,59211
2020-11-14,Sikkim,4457,3989,87,84,59499
2020-11-15,Sikkim,4499,4041,89,84,59650
2020-11-16,Sikkim,4522,4053,91,84,59836
2020-11-17,Sikkim,4549,4060,92,84,60015
2020-11-18,Sikkim,4549,4060,92,84,60211
