Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-03-02,Telangana,1,0,0,0,
2020-03-03,Telangana,1,0,0,0,
2020-03-04,Telangana,1,0,0,0,
2020-03-05,Telangana,1,0,0,0,
2020-03-06,Telangana,1,0,0,0,
2020-03-07,Telangana,1,0,0,0,
2020-03-08,Telangana,1,0,0,0,
2020-03-09,Telangana,1,0,0,0,
2020-03-10,Telangana,1,0,0,0,
2020-03-11,Telangana,1,0,0,0,
2020-03-12,Telangana,1,0,0,0,
2020-03-13,Telangana,1,0,0,0,
2020-03-14,Telangana,2,0,0,0,
2020-03-15,Telangana,3,0,0,0,
2020-03-16,Telangana,4,0,0,0,
2020-03-17,Telangana,5,0,0,0,
2020-03-18,Telangana,13,0,0,0,
2020-03-19,Telangana,16,0,0,0,
2020-03-20,Telangana,19,0,0,0,
2020-03-21,Telangana,21,0,0,0,
2020-03-22,Telangana,27,0,0,0,
2020-03-23,Telangana,33,0,0,0,
2020-03-24,Telangana,39,0,0,0,
2020-03-25,Telangana,41,0,0,0,
2020-03-26,Telangana,45,0,0,0,
2020-03-27,Telangana,59,0,0,0,
2020-03-28,Telangana,67,0,0,0,
2020-03-29,Telangana,70,1,1,0,
2020-03-30,Telangana,77,14,6,0,
2020-03-31,Telangana,97,14,6,0,
2020-04-01,Telangana,127,14,9,0,
2020-04-02,Telangana,154,17,9,0,
2020-04-03,Telangana,229,32,11,0,
2020-04-04,Telangana,272,33,11,0,
2020-04-05,Telangana,334,33,11,0,
2020-04-06,Telangana,364,45,11,0,
2020-04-07,Telangana,404,45,11,0,
2020-04-08,Telangana,453,45,11,0,
2020-04-09,Telangana,471,45,12,0,
2020-04-10,Telangana,487,45,12,0,
2020-04-11,Telangana,503,96,14,0,
2020-04-12,Telangana,531,103,16,0,
2020-04-13,Telangana,592,103,17,0,
2020-04-14,Telangana,644,110,18,0,
2020-04-15,Telangana,650,118,18,0,
2020-04-16,Telangana,700,186,18,0,
2020-04-17,Telangana,766,186,18,0,
2020-04-18,Telangana,809,186,18,0,
2020-04-19,Telangana,858,186,21,0,14962
2020-04-20,Telangana,872,186,23,0,14962
2020-04-21,Telangana,928,194,23,0,14962
2020-04-22,Telangana,943,194,24,0,14962
2020-04-23,Telangana,970,252,25,0,14962
2020-04-24,Telangana,983,291,25,0,14962
2020-04-25,Telangana,990,307,25,0,14962
2020-04-26,Telangana,1001,316,25,0,14962
2020-04-27,Telangana,1003,332,25,0,14962
2020-04-28,Telangana,1009,374,25,0,19063
2020-04-29,Telangana,1016,409,25,0,19278
2020-04-30,Telangana,1038,442,28,0,19278
2020-05-01,Telangana,1044,464,28,0,19278
2020-05-02,Telangana,1061,499,29,0,19278
2020-05-03,Telangana,1082,545,29,0,19278
2020-05-04,Telangana,1085,585,29,0,19278
2020-05-05,Telangana,1096,628,29,0,19278
2020-05-06,Telangana,1107,648,29,0,19278
2020-05-07,Telangana,1122,693,29,0,19278
2020-05-08,Telangana,1132,727,29,0,19278
2020-05-09,Telangana,1163,751,30,0,19278
2020-05-10,Telangana,1196,751,30,0,19278
2020-05-11,Telangana,1275,801,30,0,19278
2020-05-12,Telangana,1326,822,32,0,19278
2020-05-13,Telangana,1367,939,34,0,19278
2020-05-14,Telangana,1414,952,34,0,19278
2020-05-15,Telangana,1454,959,34,0,19278
2020-05-16,Telangana,1509,971,34,0,23388
2020-05-17,Telangana,1551,992,34,0,23388
2020-05-18,Telangana,1592,1002,34,0,23388
2020-05-19,Telangana,1634,1011,38,0,23388
2020-05-20,Telangana,1661,1013,40,0,23388
2020-05-21,Telangana,1699,1036,45,0,23388
2020-05-22,Telangana,1761,1043,48,0,23388
2020-05-23,Telangana,1813,1068,49,0,23388
2020-05-24,Telangana,1854,1092,53,0,23388
2020-05-25,Telangana,1920,1164,56,0,23388
2020-05-26,Telangana,2032,1284,57,0,23388
2020-05-27,Telangana,2139,1321,63,0,23388
2020-05-28,Telangana,2256,1345,67,0,23388
2020-05-29,Telangana,2425,1381,71,0,23388
2020-05-30,Telangana,2499,1412,77,0,23388
2020-05-31,Telangana,2698,1428,82,0,23388
2020-06-01,Telangana,2792,1491,88,0,23388
