Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-04-06,Tripura,1,0,0,0,
2020-04-07,Tripura,1,0,0,0,
2020-04-08,Tripura,1,0,0,0,
2020-04-09,Tripura,1,0,0,0,
2020-04-10,Tripura,2,0,0,0,
2020-04-11,Tripura,2,0,0,0,337
2020-04-12,Tripura,2,0,0,0,337
2020-04-13,Tripura,2,0,0,0,337
2020-04-14,Tripura,2,0,0,0,337
2020-04-15,Tripura,2,1,0,0,738
2020-04-16,Tripura,2,1,0,0,762
2020-04-17,Tripura,2,1,0,0,762
2020-04-18,Tripura,2,1,0,0,762
2020-04-19,Tripura,2,1,0,0,762
2020-04-20,Tripura,2,1,0,0,762
2020-04-21,Tripura,2,1,0,0,2604
2020-04-22,Tripura,2,1,0,0,3215
2020-04-23,Tripura,2,2,0,0,3215
2020-04-24,Tripura,2,2,0,0,3215
2020-04-25,Tripura,2,2,0,0,3215
2020-04-26,Tripura,2,2,0,0,3215
2020-04-27,Tripura,2,2,0,0,3215
2020-04-28,Tripura,2,2,0,0,3215
2020-04-29,Tripura,2,2,0,0,3215
2020-04-30,Tripura,3,2,0,0,3215
2020-05-01,Tripura,3,2,0,0,4828
2020-05-02,Tripura,5,2,0,0,4955
2020-05-03,Tripura,17,2,0,0,5162
2020-05-04,Tripura,30,2,0,0,5394
2020-05-05,Tripura,43,2,0,0,5850
2020-05-06,Tripura,65,2,0,0,6228
2020-05-07,Tripura,89,2,0,0,6917
2020-05-08,Tripura,119,2,0,0,7448
2020-05-09,Tripura,136,2,0,0,8340
2020-05-10,Tripura,152,2,0,0,9091
2020-05-11,Tripura,152,2,0,0,9596
2020-05-12,Tripura,154,2,0,0,10344
2020-05-13,Tripura,155,2,0,0,11146
2020-05-14,Tripura,156,29,0,0,11804
2020-05-15,Tripura,156,42,0,0,12561
2020-05-16,Tripura,167,64,0,0,13178
2020-05-17,Tripura,165,85,0,0,13750
2020-05-18,Tripura,165,89,0,0,14286
2020-05-19,Tripura,173,116,0,0,15083
2020-05-20,Tripura,173,116,0,0,15822
2020-05-21,Tripura,175,148,0,0,16873
2020-05-22,Tripura,175,152,0,0,17721
2020-05-23,Tripura,191,152,0,0,18737
2020-05-24,Tripura,194,165,0,0,19278
2020-05-25,Tripura,198,165,0,0,20871
2020-05-26,Tripura,232,165,0,0,22049
2020-05-27,Tripura,242,165,0,0,23264
2020-05-28,Tripura,244,167,0,0,24126
2020-05-29,Tripura,254,167,0,0,25403
2020-05-30,Tripura,271,172,0,0,26376
2020-05-31,Tripura,316,173,0,0,27475
2020-06-01,Tripura,423,173,0,0,28360
2020-06-02,Tripura,471,173,0,0,29066
2020-06-03,Tripura,622,173,0,0,30481
2020-06-04,Tripura,646,173,0,0,31138
2020-06-05,Tripura,694,173,0,0,32300
2020-06-06,Tripura,749,173,0,0,33331
2020-06-07,Tripura,802,192,0,0,35263
2020-06-08,Tripura,840,192,0,0,37453
2020-06-09,Tripura,866,192,1,0,38572
2020-06-10,Tripura,897,239,1,0,40027
2020-06-11,Tripura,922,278,1,0,41389
2020-06-12,Tripura,963,278,1,0,40837
2020-06-13,Tripura,1046,315,1,0,43972
2020-06-14,Tripura,1079,433,1,0,46015
2020-06-15,Tripura,1089,433,1,0,47683
2020-06-16,Tripura,1090,556,1,0,49208
2020-06-17,Tripura,1133,556,1,0,50268
2020-06-18,Tripura,1154,639,1,0,51495
2020-06-19,Tripura,1181,657,1,0,52752
2020-06-20,Tripura,1189,680,1,0,53905
2020-06-21,Tripura,1224,759,1,0,54983
2020-06-22,Tripura,1240,782,1,0,56035
2020-06-23,Tripura,1263,807,1,0,56901
2020-06-24,Tripura,1263,904,1,0,57753
2020-06-25,Tripura,1295,1026,1,0,59025
2020-06-26,Tripura,1330,1062,1,0,60199
2020-06-27,Tripura,1339,1078,1,0,61194
2020-06-28,Tripura,1351,1086,1,0,62278
2020-06-29,Tripura,1385,1092,1,0,63364
2020-06-30,Tripura,1393,1092,1,0,64478
2020-07-01,Tripura,1401,1093,1,0,65549
2020-07-02,Tripura,1440,1146,1,0,67255
2020-07-03,Tripura,1533,1199,1,0,68634
2020-07-04,Tripura,1558,1202,1,0,69891
2020-07-05,Tripura,1581,1206,1,0,71338
2020-07-06,Tripura,1692,1219,1,13,73058
2020-07-07,Tripura,1716,1248,1,13,74230
2020-07-08,Tripura,1773,1324,1,13,75641
2020-07-09,Tripura,1789,1338,1,13,77439
2020-07-10,Tripura,1931,1372,1,13,79429
2020-07-11,Tripura,1962,1375,2,14,81631
2020-07-12,Tripura,2067,1421,2,14,83353
2020-07-13,Tripura,2093,1475,2,14,86211
2020-07-14,Tripura,2183,1538,2,14,88677
2020-07-15,Tripura,2281,1604,3,14,92313
2020-07-16,Tripura,2379,1637,3,14,95328
2020-07-17,Tripura,2497,1684,3,14,97471
2020-07-18,Tripura,2668,1735,5,14,105058
2020-07-19,Tripura,2891,1759,5,14,109290
2020-07-20,Tripura,3093,1845,7,14,114165
2020-07-21,Tripura,3345,1926,8,14,119046
2020-07-22,Tripura,3471,2033,9,18,123269
2020-07-23,Tripura,3677,2072,10,18,127742
2020-07-24,Tripura,3777,2131,11,18,131485
2020-07-25,Tripura,3882,2210,11,18,135436
2020-07-26,Tripura,3919,2362,13,18,138100
2020-07-27,Tripura,4066,2467,17,18,142275
2020-07-28,Tripura,4287,2621,21,18,148877
2020-07-29,Tripura,4503,2678,21,18,156382
2020-07-30,Tripura,4722,2962,21,18,163640
2020-07-31,Tripura,4996,3327,21,18,170834
2020-08-01,Tripura,5248,3463,23,18,176171
2020-08-02,Tripura,5389,3605,27,18,180684
2020-08-03,Tripura,5389,3605,27,18,180684
2020-08-04,Tripura,5520,3675,28,18,184227
2020-08-05,Tripura,5642,3725,30,18,187848
2020-08-06,Tripura,5740,3793,31,18,190492
2020-08-07,Tripura,5868,3860,36,18,193268
2020-08-08,Tripura,6014,4084,37,18,196440
2020-08-09,Tripura,6161,4176,41,18,199937
2020-08-10,Tripura,6223,4443,42,18,202004
2020-08-11,Tripura,6387,4656,43,18,205125
2020-08-12,Tripura,6497,4838,43,18,208165
2020-08-13,Tripura,6618,4912,44,18,210678
2020-08-14,Tripura,6782,5015,46,18,213730
2020-08-15,Tripura,6949,5088,50,18,217119
2020-08-16,Tripura,7076,5151,55,18,218981
2020-08-17,Tripura,7219,5286,59,18,220789
2020-08-18,Tripura,7424,5404,62,18,223966
2020-08-19,Tripura,7660,5497,65,18,228003
2020-08-20,Tripura,7850,5565,65,18,230716
2020-08-21,Tripura,8106,5651,69,18,233713
2020-08-22,Tripura,8386,6061,70,18,237750
2020-08-23,Tripura,8717,6182,72,18,241101
2020-08-24,Tripura,8917,6341,73,18,243613
2020-08-25,Tripura,9210,6414,79,19,247299
2020-08-26,Tripura,9539,6574,83,19,251657
2020-08-27,Tripura,9924,6697,85,19,255877
2020-08-28,Tripura,10433,6839,89,19,260373
2020-08-29,Tripura,10876,7037,94,19,264655
2020-08-30,Tripura,11323,7232,98,19,268276
2020-08-31,Tripura,11644,7433,103,19,271170
2020-09-01,Tripura,12153,7654,113,20,274199
2020-09-02,Tripura,12719,7847,118,20,277951
2020-09-03,Tripura,13309,8033,126,20,282798
2020-09-04,Tripura,13833,8212,129,20,287018
2020-09-05,Tripura,14524,8483,136,21,292269
2020-09-06,Tripura,15127,8745,144,21,297100
2020-09-07,Tripura,15526,9048,149,22,300486
2020-09-08,Tripura,16154,9342,152,22,304758
2020-09-09,Tripura,16736,9653,161,22,308922
2020-09-10,Tripura,17271,9993,167,22,313816
2020-09-11,Tripura,17830,10255,172,22,318581
