Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-04-02,Arunachal Pradesh,1,0,0,0,
2020-04-03,Arunachal Pradesh,1,0,0,0,
2020-04-04,Arunachal Pradesh,1,0,0,0,
2020-04-05,Arunachal Pradesh,1,0,0,0,
2020-04-06,Arunachal Pradesh,1,0,0,0,
2020-04-07,Arunachal Pradesh,1,0,0,0,
2020-04-08,Arunachal Pradesh,1,0,0,0,
2020-04-09,Arunachal Pradesh,1,0,0,0,206
2020-04-10,Arunachal Pradesh,1,0,0,0,206
2020-04-11,Arunachal Pradesh,1,0,0,0,206
2020-04-12,Arunachal Pradesh,1,0,0,0,206
2020-04-13,Arunachal Pradesh,1,0,0,0,206
2020-04-14,Arunachal Pradesh,1,0,0,0,280
2020-04-15,Arunachal Pradesh,1,1,0,0,280
2020-04-16,Arunachal Pradesh,1,1,0,0,280
2020-04-17,Arunachal Pradesh,1,1,0,0,363
2020-04-18,Arunachal Pradesh,1,1,0,0,389
2020-04-19,Arunachal Pradesh,1,1,0,0,389
2020-04-20,Arunachal Pradesh,1,1,0,0,439
2020-04-21,Arunachal Pradesh,1,1,0,0,454
2020-04-22,Arunachal Pradesh,1,1,0,0,496
2020-04-23,Arunachal Pradesh,1,1,0,0,496
2020-04-24,Arunachal Pradesh,1,1,0,0,526
2020-04-25,Arunachal Pradesh,1,1,0,0,526
2020-04-26,Arunachal Pradesh,1,1,0,0,568
2020-04-27,Arunachal Pradesh,1,1,0,0,584
2020-04-28,Arunachal Pradesh,1,1,0,0,610
2020-04-29,Arunachal Pradesh,1,1,0,0,662
2020-04-30,Arunachal Pradesh,1,1,0,0,694
2020-05-01,Arunachal Pradesh,1,1,0,0,724
2020-05-02,Arunachal Pradesh,1,1,0,0,724
2020-05-03,Arunachal Pradesh,1,1,0,0,810
2020-05-04,Arunachal Pradesh,1,1,0,0,869
2020-05-05,Arunachal Pradesh,1,1,0,0,970
2020-05-06,Arunachal Pradesh,1,1,0,0,1039
2020-05-07,Arunachal Pradesh,1,1,0,0,1144
2020-05-08,Arunachal Pradesh,1,1,0,0,1354
2020-05-09,Arunachal Pradesh,1,1,0,0,1597
2020-05-10,Arunachal Pradesh,1,1,0,0,1823
2020-05-11,Arunachal Pradesh,1,1,0,0,2078
2020-05-12,Arunachal Pradesh,1,1,0,0,2257
2020-05-13,Arunachal Pradesh,1,1,0,0,2483
2020-05-14,Arunachal Pradesh,1,1,0,0,2677
2020-05-15,Arunachal Pradesh,1,1,0,0,2942
2020-05-16,Arunachal Pradesh,1,1,0,0,3163
2020-05-17,Arunachal Pradesh,1,1,0,0,3349
2020-05-18,Arunachal Pradesh,1,1,0,0,3662
2020-05-19,Arunachal Pradesh,1,1,0,0,3941
2020-05-20,Arunachal Pradesh,1,1,0,0,4157
2020-05-21,Arunachal Pradesh,1,1,0,0,4438
2020-05-22,Arunachal Pradesh,1,1,0,0,4844
