Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-03-14,Himachal Pradesh,0,0,0,3,
2020-03-15,Himachal Pradesh,0,0,0,3,
2020-03-16,Himachal Pradesh,0,0,0,3,
2020-03-17,Himachal Pradesh,0,0,0,3,
2020-03-18,Himachal Pradesh,0,0,0,3,
2020-03-19,Himachal Pradesh,0,0,0,3,
2020-03-20,Himachal Pradesh,2,0,0,3,
2020-03-21,Himachal Pradesh,2,0,0,3,
2020-03-22,Himachal Pradesh,2,0,0,3,
2020-03-23,Himachal Pradesh,3,0,0,3,
2020-03-24,Himachal Pradesh,3,0,0,3,
2020-03-25,Himachal Pradesh,3,0,0,3,
2020-03-26,Himachal Pradesh,3,0,0,3,
2020-03-27,Himachal Pradesh,3,0,0,3,
2020-03-28,Himachal Pradesh,3,0,0,3,
2020-03-29,Himachal Pradesh,3,1,1,3,
2020-03-30,Himachal Pradesh,3,1,1,3,
2020-03-31,Himachal Pradesh,3,1,1,3,
2020-04-01,Himachal Pradesh,3,1,1,3,
2020-04-02,Himachal Pradesh,6,1,1,3,
2020-04-03,Himachal Pradesh,6,1,2,3,
2020-04-04,Himachal Pradesh,13,1,2,3,
2020-04-05,Himachal Pradesh,14,1,2,3,
2020-04-06,Himachal Pradesh,18,1,2,3,
2020-04-07,Himachal Pradesh,27,2,2,3,
2020-04-08,Himachal Pradesh,27,2,2,3,
2020-04-09,Himachal Pradesh,28,2,2,3,
2020-04-10,Himachal Pradesh,28,2,2,3,900
2020-04-11,Himachal Pradesh,32,8,2,3,900
2020-04-12,Himachal Pradesh,32,12,2,3,1113
2020-04-13,Himachal Pradesh,32,12,2,3,1210
2020-04-14,Himachal Pradesh,33,13,2,3,1311
2020-04-15,Himachal Pradesh,35,13,2,3,1426
2020-04-16,Himachal Pradesh,35,16,2,3,1604
2020-04-17,Himachal Pradesh,38,16,2,3,1992
2020-04-18,Himachal Pradesh,39,16,2,3,2207
2020-04-19,Himachal Pradesh,39,16,2,3,2553
2020-04-20,Himachal Pradesh,39,16,2,3,2892
2020-04-21,Himachal Pradesh,39,16,2,3,3341
2020-04-22,Himachal Pradesh,39,16,2,3,3700
2020-04-23,Himachal Pradesh,40,18,2,3,4020
2020-04-24,Himachal Pradesh,40,18,2,3,4328
2020-04-25,Himachal Pradesh,40,22,2,3,4623
2020-04-26,Himachal Pradesh,40,22,2,3,4901
2020-04-27,Himachal Pradesh,40,25,2,3,5106
2020-04-28,Himachal Pradesh,40,25,2,3,5391
2020-04-29,Himachal Pradesh,40,25,2,3,5772
2020-04-30,Himachal Pradesh,40,28,2,3,6133
2020-05-01,Himachal Pradesh,40,30,2,3,6472
2020-05-02,Himachal Pradesh,40,33,2,3,6836
2020-05-03,Himachal Pradesh,40,34,2,3,7185
2020-05-04,Himachal Pradesh,41,34,2,3,7430
2020-05-05,Himachal Pradesh,42,34,3,3,7893
2020-05-06,Himachal Pradesh,43,34,3,3,8491
2020-05-07,Himachal Pradesh,46,34,3,3,9005
2020-05-08,Himachal Pradesh,50,34,3,3,9522
2020-05-09,Himachal Pradesh,52,35,3,3,10208
2020-05-10,Himachal Pradesh,58,35,3,3,10791
2020-05-11,Himachal Pradesh,59,35,3,3,11267
2020-05-12,Himachal Pradesh,67,35,3,3,12224
2020-05-13,Himachal Pradesh,68,35,3,3,13190
2020-05-14,Himachal Pradesh,74,35,3,3,14256
2020-05-15,Himachal Pradesh,76,35,3,3,15557
2020-05-16,Himachal Pradesh,78,39,3,3,16534
2020-05-17,Himachal Pradesh,80,40,3,3,17417
2020-05-18,Himachal Pradesh,90,42,3,3,18224
2020-05-19,Himachal Pradesh,92,47,4,3,19645
2020-05-20,Himachal Pradesh,110,50,4,3,21147
2020-05-21,Himachal Pradesh,152,55,4,3,22641
2020-05-22,Himachal Pradesh,168,55,4,3,24246
2020-05-23,Himachal Pradesh,185,57,4,3,25905
2020-05-24,Himachal Pradesh,203,59,4,3,27288
2020-05-25,Himachal Pradesh,223,63,4,3,28346
2020-05-26,Himachal Pradesh,247,63,4,3,29379
2020-05-27,Himachal Pradesh,273,66,6,3,30852
2020-05-28,Himachal Pradesh,281,73,6,3,32449
2020-05-29,Himachal Pradesh,295,83,6,3,33979
2020-05-30,Himachal Pradesh,313,107,6,3,35668
2020-05-31,Himachal Pradesh,331,116,6,3,37168
2020-06-01,Himachal Pradesh,340,118,6,3,37897
2020-06-02,Himachal Pradesh,345,136,6,3,39620
2020-06-03,Himachal Pradesh,359,146,6,6,41351
2020-06-04,Himachal Pradesh,383,175,6,6,42703
2020-06-05,Himachal Pradesh,393,185,6,6,43688
2020-06-06,Himachal Pradesh,400,190,6,6,44509
2020-06-07,Himachal Pradesh,411,218,6,6,45888
2020-06-08,Himachal Pradesh,421,223,6,6,46416
2020-06-09,Himachal Pradesh,437,237,6,6,47655
2020-06-10,Himachal Pradesh,451,250,7,6,48922
2020-06-11,Himachal Pradesh,470,276,7,13,50222
2020-06-12,Himachal Pradesh,486,293,7,13,51420
2020-06-13,Himachal Pradesh,502,309,7,13,52737
2020-06-14,Himachal Pradesh,518,326,7,14,53946
2020-06-15,Himachal Pradesh,556,342,7,14,54484
2020-06-16,Himachal Pradesh,560,361,7,14,56106
2020-06-17,Himachal Pradesh,585,368,7,14,57479
2020-06-18,Himachal Pradesh,595,373,7,14,59214
2020-06-19,Himachal Pradesh,627,385,7,16,60814
2020-06-20,Himachal Pradesh,656,405,7,16,62580
