Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-03-09,Jammu and Kashmir,1,0,0,0,
2020-03-10,Jammu and Kashmir,1,0,0,0,
2020-03-11,Jammu and Kashmir,1,0,0,0,
2020-03-12,Jammu and Kashmir,1,0,0,0,
2020-03-13,Jammu and Kashmir,2,0,0,0,
2020-03-14,Jammu and Kashmir,2,0,0,0,
2020-03-15,Jammu and Kashmir,2,0,0,0,
2020-03-16,Jammu and Kashmir,3,0,0,0,
2020-03-17,Jammu and Kashmir,3,0,0,0,
2020-03-18,Jammu and Kashmir,4,0,0,0,
2020-03-19,Jammu and Kashmir,4,0,0,0,
2020-03-20,Jammu and Kashmir,4,0,0,0,
2020-03-21,Jammu and Kashmir,4,0,0,0,
2020-03-22,Jammu and Kashmir,4,0,0,0,
2020-03-23,Jammu and Kashmir,4,0,0,0,
2020-03-24,Jammu and Kashmir,6,0,0,0,
2020-03-25,Jammu and Kashmir,11,0,0,0,
2020-03-26,Jammu and Kashmir,14,0,0,0,
2020-03-27,Jammu and Kashmir,20,0,0,0,
2020-03-28,Jammu and Kashmir,33,0,0,0,
2020-03-29,Jammu and Kashmir,38,1,1,0,
2020-03-30,Jammu and Kashmir,49,1,1,0,
2020-03-31,Jammu and Kashmir,55,1,2,0,
2020-04-01,Jammu and Kashmir,62,2,2,0,
2020-04-02,Jammu and Kashmir,70,3,2,0,
2020-04-03,Jammu and Kashmir,75,3,2,0,
2020-04-04,Jammu and Kashmir,92,3,2,0,
2020-04-05,Jammu and Kashmir,106,4,2,0,1551
2020-04-06,Jammu and Kashmir,109,4,2,0,1551
2020-04-07,Jammu and Kashmir,125,4,3,0,1551
2020-04-08,Jammu and Kashmir,158,6,3,0,1551
2020-04-09,Jammu and Kashmir,184,6,4,0,1551
2020-04-10,Jammu and Kashmir,207,6,4,0,2961
2020-04-11,Jammu and Kashmir,224,6,4,0,3206
2020-04-12,Jammu and Kashmir,245,6,4,0,3600
2020-04-13,Jammu and Kashmir,270,16,4,0,4065
2020-04-14,Jammu and Kashmir,278,30,4,0,4619
2020-04-15,Jammu and Kashmir,300,36,4,0,5171
2020-04-16,Jammu and Kashmir,314,38,4,0,5680
2020-04-17,Jammu and Kashmir,328,42,5,0,6438
2020-04-18,Jammu and Kashmir,341,51,5,0,6937
2020-04-19,Jammu and Kashmir,354,56,5,0,7895
2020-04-20,Jammu and Kashmir,368,71,5,0,8612
2020-04-21,Jammu and Kashmir,380,81,5,0,9220
2020-04-22,Jammu and Kashmir,407,92,5,0,10039
2020-04-23,Jammu and Kashmir,434,92,5,0,10977
2020-04-24,Jammu and Kashmir,454,109,5,0,11764
2020-04-25,Jammu and Kashmir,494,112,6,0,12835
2020-04-26,Jammu and Kashmir,523,137,6,0,13959
