Date,State,Confirmed,Recovered,Deceased,Other,Tested,daily_cases
2020-03-09,Karnataka,1,0,0,0,,1
2020-03-10,Karnataka,4,0,0,0,,3
2020-03-11,Karnataka,4,0,0,0,,0
2020-03-12,Karnataka,5,0,0,0,,1
2020-03-13,Karnataka,6,0,1,0,,1
2020-03-14,Karnataka,6,0,1,0,,0
2020-03-15,Karnataka,6,0,1,0,,0
2020-03-16,Karnataka,7,0,1,0,,1
2020-03-17,Karnataka,11,0,1,0,,4
2020-03-18,Karnataka,14,0,1,0,,3
2020-03-19,Karnataka,15,0,1,0,,1
2020-03-20,Karnataka,15,1,1,0,,0
2020-03-21,Karnataka,20,1,1,0,,5
2020-03-22,Karnataka,26,1,1,0,,6
2020-03-23,Karnataka,33,1,1,0,,7
2020-03-24,Karnataka,41,3,1,0,,8
2020-03-25,Karnataka,51,3,1,0,,10
2020-03-26,Karnataka,55,3,2,0,,4
2020-03-27,Karnataka,64,5,3,0,,9
2020-03-28,Karnataka,76,5,3,0,,12
2020-03-29,Karnataka,83,5,3,0,,7
2020-03-30,Karnataka,88,6,3,0,,5
2020-03-31,Karnataka,101,8,3,0,,13
2020-04-01,Karnataka,110,9,3,0,,9
2020-04-02,Karnataka,124,11,3,0,,14
2020-04-03,Karnataka,128,11,4,0,4587,4
2020-04-04,Karnataka,144,11,4,0,4587,16
2020-04-05,Karnataka,151,12,4,0,4587,7
2020-04-06,Karnataka,163,20,4,0,4587,12
2020-04-07,Karnataka,175,25,4,0,6580,12
2020-04-08,Karnataka,181,28,5,0,6967,6
2020-04-09,Karnataka,197,30,6,0,7613,16
2020-04-10,Karnataka,207,34,6,0,7975,10
2020-04-11,Karnataka,215,39,6,0,8560,8
2020-04-12,Karnataka,232,54,6,0,9251,17
2020-04-13,Karnataka,247,60,8,0,10017,15
2020-04-14,Karnataka,260,71,10,0,11107,13
2020-04-15,Karnataka,279,80,12,0,12483,19
2020-04-16,Karnataka,315,82,13,0,13724,36
2020-04-17,Karnataka,359,88,13,0,17594,44
2020-04-18,Karnataka,384,104,14,0,19186,25
2020-04-19,Karnataka,390,111,16,0,21367,6
2020-04-20,Karnataka,408,112,16,0,23460,18
2020-04-21,Karnataka,418,129,17,0,26233,10
2020-04-22,Karnataka,427,131,17,0,29512,9
2020-04-23,Karnataka,445,145,17,0,32122,18
2020-04-24,Karnataka,474,152,18,0,35958,29
2020-04-25,Karnataka,500,158,18,0,39083,26
2020-04-26,Karnataka,503,182,19,0,42964,3
2020-04-27,Karnataka,512,193,20,1,45685,9
2020-04-28,Karnataka,523,207,20,1,50512,11
2020-04-29,Karnataka,535,216,21,1,55404,12
2020-04-30,Karnataka,565,229,22,1,60156,30
2020-05-01,Karnataka,589,251,22,1,64898,24
2020-05-02,Karnataka,601,271,25,1,69730,12
2020-05-03,Karnataka,614,293,25,1,74898,13
2020-05-04,Karnataka,651,321,27,1,79193,37
2020-05-05,Karnataka,673,331,29,1,83806,22
2020-05-06,Karnataka,693,354,29,1,88777,20
2020-05-07,Karnataka,705,366,30,1,93535,12
2020-05-08,Karnataka,753,376,30,1,98081,48
2020-05-09,Karnataka,794,386,30,1,103098,41
2020-05-10,Karnataka,848,422,31,1,107311,54
2020-05-11,Karnataka,862,426,31,1,111595,14
2020-05-12,Karnataka,925,433,31,1,116533,63
2020-05-13,Karnataka,959,451,33,1,121178,34
2020-05-14,Karnataka,987,460,35,1,128373,28
2020-05-15,Karnataka,1056,480,36,1,133724,69
2020-05-16,Karnataka,1092,496,36,1,140024,36
2020-05-17,Karnataka,1147,509,37,1,145398,55
2020-05-18,Karnataka,1246,530,37,1,151663,99
2020-05-19,Karnataka,1395,543,40,1,158599,149
2020-05-20,Karnataka,1462,556,41,1,166781,67
2020-05-21,Karnataka,1605,571,41,1,174297,143
2020-05-22,Karnataka,1743,597,41,1,186526,138
2020-05-23,Karnataka,1959,608,42,2,196196,216
2020-05-24,Karnataka,2089,654,42,2,206313,130
2020-05-25,Karnataka,2182,705,43,3,219894,93
2020-05-26,Karnataka,2283,764,43,3,228914,101
2020-05-27,Karnataka,2418,781,46,3,241608,135
2020-05-28,Karnataka,2533,834,46,3,252078,115
2020-05-29,Karnataka,2781,894,46,4,264489,248
2020-05-30,Karnataka,2922,997,47,4,280217,141
2020-05-31,Karnataka,3221,1218,49,4,293575,299
2020-06-01,Karnataka,3408,1318,50,4,304816,187
2020-06-02,Karnataka,3796,1393,50,4,319628,388
2020-06-03,Karnataka,4063,1504,51,4,334825,267
2020-06-04,Karnataka,4320,1610,55,4,347093,257
2020-06-05,Karnataka,4835,1693,55,4,360720,515
2020-06-06,Karnataka,5213,1973,57,4,372582,378
2020-06-07,Karnataka,5452,2132,59,4,384442,239
2020-06-08,Karnataka,5760,2441,62,4,393221,308
2020-06-09,Karnataka,5921,2605,64,4,400257,161
2020-06-10,Karnataka,6041,2862,67,4,408506,120
2020-06-11,Karnataka,6245,2976,70,4,416506,204
2020-06-12,Karnataka,6516,3440,77,4,426341,271
2020-06-13,Karnataka,6824,3648,80,4,436518,308
2020-06-14,Karnataka,7000,3960,85,4,443969,176
2020-06-15,Karnataka,7213,4134,87,4,449331,213
2020-06-16,Karnataka,7530,4456,94,4,457267,317
2020-06-17,Karnataka,7734,4804,102,4,464798,204
2020-06-18,Karnataka,7944,4980,114,4,473507,210
2020-06-19,Karnataka,8281,5210,123,4,484060,337
2020-06-20,Karnataka,8697,5393,132,4,493893,416
2020-06-21,Karnataka,9150,5619,137,4,506765,453
