Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-03-20,Madhya Pradesh,4,0,0,0,
2020-03-21,Madhya Pradesh,4,0,0,0,
2020-03-22,Madhya Pradesh,6,0,0,0,
2020-03-23,Madhya Pradesh,6,0,0,0,
2020-03-24,Madhya Pradesh,7,0,0,0,
2020-03-25,Madhya Pradesh,15,0,0,0,
2020-03-26,Madhya Pradesh,20,0,0,0,
2020-03-27,Madhya Pradesh,29,0,0,0,
2020-03-28,Madhya Pradesh,39,0,0,0,
2020-03-29,Madhya Pradesh,39,0,2,0,
2020-03-30,Madhya Pradesh,47,0,4,0,
2020-03-31,Madhya Pradesh,66,0,5,0,
2020-04-01,Madhya Pradesh,98,0,6,0,
2020-04-02,Madhya Pradesh,107,0,8,0,
2020-04-03,Madhya Pradesh,154,0,8,0,
2020-04-04,Madhya Pradesh,179,0,11,0,
2020-04-05,Madhya Pradesh,193,3,13,0,2812
2020-04-06,Madhya Pradesh,256,11,15,0,2812
2020-04-07,Madhya Pradesh,290,21,21,0,3770
2020-04-08,Madhya Pradesh,341,25,24,0,4056
2020-04-09,Madhya Pradesh,411,25,33,0,5135
2020-04-10,Madhya Pradesh,451,37,36,0,7049
2020-04-11,Madhya Pradesh,529,38,40,0,8516
2020-04-12,Madhya Pradesh,562,41,43,0,10481
2020-04-13,Madhya Pradesh,614,51,50,0,10481
2020-04-14,Madhya Pradesh,741,64,53,0,8105
2020-04-15,Madhya Pradesh,938,64,53,0,9596
2020-04-16,Madhya Pradesh,1164,70,55,0,13492
2020-04-17,Madhya Pradesh,1310,70,69,0,15302
2020-04-18,Madhya Pradesh,1402,127,69,0,14978
2020-04-19,Madhya Pradesh,1407,131,72,0,17835
2020-04-20,Madhya Pradesh,1485,138,76,0,19142
2020-04-21,Madhya Pradesh,1552,148,80,0,20905
2020-04-22,Madhya Pradesh,1587,152,80,0,22664
2020-04-23,Madhya Pradesh,1687,203,83,0,24548
2020-04-24,Madhya Pradesh,1846,210,92,0,26233
2020-04-25,Madhya Pradesh,1945,281,99,0,27866
2020-04-26,Madhya Pradesh,2090,302,103,0,25232
2020-04-27,Madhya Pradesh,2165,357,110,0,27009
2020-04-28,Madhya Pradesh,2387,373,120,0,31060
2020-04-29,Madhya Pradesh,2560,461,130,0,33837
2020-04-30,Madhya Pradesh,2625,482,137,0,41712
2020-05-01,Madhya Pradesh,2715,524,145,0,44116
2020-05-02,Madhya Pradesh,2788,624,151,0,46578
2020-05-03,Madhya Pradesh,2837,798,156,0,49186
2020-05-04,Madhya Pradesh,2942,856,165,0,52095
2020-05-05,Madhya Pradesh,3049,1000,176,0,54595
2020-05-06,Madhya Pradesh,3138,1099,185,0,54595
2020-05-07,Madhya Pradesh,3252,1231,193,0,61020
2020-05-08,Madhya Pradesh,3341,1349,200,0,63705
2020-05-09,Madhya Pradesh,3457,1480,211,0,68010
2020-05-10,Madhya Pradesh,3614,1676,215,0,72069
2020-05-11,Madhya Pradesh,3785,1747,221,0,76039
2020-05-12,Madhya Pradesh,3986,1860,225,0,80885
2020-05-13,Madhya Pradesh,4173,2004,232,0,85903
2020-05-14,Madhya Pradesh,4426,2171,237,0,89760
2020-05-15,Madhya Pradesh,4595,2283,239,0,93849
2020-05-16,Madhya Pradesh,4790,2315,243,0,99677
2020-05-17,Madhya Pradesh,4977,2403,248,0,103898
2020-05-18,Madhya Pradesh,5236,2435,252,0,112168
2020-05-19,Madhya Pradesh,5465,2631,258,0,116473
2020-05-20,Madhya Pradesh,5735,2734,267,0,120737
2020-05-21,Madhya Pradesh,5981,2844,271,0,125608
2020-05-22,Madhya Pradesh,6170,3089,272,0,129060
2020-05-23,Madhya Pradesh,6371,3267,281,0,132769
2020-05-24,Madhya Pradesh,6665,3408,290,0,135889
2020-05-25,Madhya Pradesh,6859,3571,300,0,138584
2020-05-26,Madhya Pradesh,7024,3689,305,0,141508
2020-05-27,Madhya Pradesh,7261,3927,313,0,146144
2020-05-28,Madhya Pradesh,7453,4050,321,0,151182
2020-05-29,Madhya Pradesh,7645,4269,334,0,155436
2020-05-30,Madhya Pradesh,7891,4444,343,0,161552
2020-05-31,Madhya Pradesh,8089,4842,350,0,167808
2020-06-01,Madhya Pradesh,8283,5003,358,0,172019
2020-06-02,Madhya Pradesh,8420,5221,364,0,177481
2020-06-03,Madhya Pradesh,8588,5445,371,0,183662
2020-06-04,Madhya Pradesh,8762,5637,377,0,189252
2020-06-05,Madhya Pradesh,8996,5878,384,0,195249
2020-06-06,Madhya Pradesh,9228,6108,399,0,200913
2020-06-07,Madhya Pradesh,9401,6331,412,0,208514
2020-06-08,Madhya Pradesh,9638,6536,414,0,215194
2020-06-09,Madhya Pradesh,9849,6729,420,0,220936
2020-06-10,Madhya Pradesh,10049,6892,427,0,228042
2020-06-11,Madhya Pradesh,10241,7042,431,0,233740
2020-06-12,Madhya Pradesh,10443,7201,440,0,241461
2020-06-13,Madhya Pradesh,10641,7377,447,0,246973
2020-06-14,Madhya Pradesh,10802,7677,459,0,252762
2020-06-15,Madhya Pradesh,10935,7903,465,0,258040
2020-06-16,Madhya Pradesh,11083,8152,476,0,263983
2020-06-17,Madhya Pradesh,11244,8388,482,0,271205
2020-06-18,Madhya Pradesh,11426,8632,486,0,277451
2020-06-19,Madhya Pradesh,11582,8748,495,0,282674
2020-06-20,Madhya Pradesh,11724,8880,501,0,290831
2020-06-21,Madhya Pradesh,11903,9015,515,0,296943
2020-06-22,Madhya Pradesh,12078,9215,521,0,302673
2020-06-23,Madhya Pradesh,12261,9335,525,0,307812
2020-06-24,Madhya Pradesh,12448,9473,534,0,314978
2020-06-25,Madhya Pradesh,12595,9619,542,0,321595
2020-06-26,Madhya Pradesh,12798,9804,546,0,329079
2020-06-27,Madhya Pradesh,12965,9971,550,0,337041
2020-06-28,Madhya Pradesh,13186,10084,557,0,344836
2020-06-29,Madhya Pradesh,13370,10199,564,0,353612
2020-06-30,Madhya Pradesh,13593,10395,572,0,365467
2020-07-01,Madhya Pradesh,13861,10655,581,0,372811
2020-07-02,Madhya Pradesh,14106,10815,589,0,380655
2020-07-03,Madhya Pradesh,14297,11049,593,0,389180
2020-07-04,Madhya Pradesh,14604,11234,598,0,398329
2020-07-05,Madhya Pradesh,14930,11411,608,0,407882
2020-07-06,Madhya Pradesh,15284,11579,617,0,417402
2020-07-07,Madhya Pradesh,15627,11768,622,0,427143
2020-07-08,Madhya Pradesh,16036,11987,629,0,437930
2020-07-09,Madhya Pradesh,16341,12232,634,0,449680
2020-07-10,Madhya Pradesh,16657,12481,638,0,460941
2020-07-11,Madhya Pradesh,17201,12679,644,0,474461
2020-07-12,Madhya Pradesh,17632,12876,653,0,486176
2020-07-13,Madhya Pradesh,18207,13208,663,0,509223
2020-07-14,Madhya Pradesh,19005,13575,673,0,521700
2020-07-15,Madhya Pradesh,19643,13908,682,0,540483
2020-07-16,Madhya Pradesh,20378,14127,689,0,553082
2020-07-17,Madhya Pradesh,21082,14514,698,0,567364
2020-07-18,Madhya Pradesh,21763,14864,706,0,583655
2020-07-19,Madhya Pradesh,22600,15311,721,0,599640
2020-07-20,Madhya Pradesh,23310,15684,738,0,615862
2020-07-21,Madhya Pradesh,24095,16257,756,0,631067
2020-07-22,Madhya Pradesh,24842,16836,770,0,645003
2020-07-23,Madhya Pradesh,25474,17359,780,0,658869
2020-07-24,Madhya Pradesh,26210,17866,791,0,670155
2020-07-25,Madhya Pradesh,26926,18488,799,0,684419
2020-07-26,Madhya Pradesh,27800,19132,811,0,698171
2020-07-27,Madhya Pradesh,28589,19791,820,0,711982
2020-07-28,Madhya Pradesh,29217,20343,830,0,724673
2020-07-29,Madhya Pradesh,30134,20934,844,0,738986
2020-07-30,Madhya Pradesh,30968,21657,857,0,752924
2020-07-31,Madhya Pradesh,31806,22271,867,0,767571
2020-08-01,Madhya Pradesh,32614,22969,876,0,783769
2020-08-02,Madhya Pradesh,33535,23550,886,0,799500
2020-08-03,Madhya Pradesh,34285,24099,900,0,812362
2020-08-04,Madhya Pradesh,35082,25414,912,0,825723
2020-08-05,Madhya Pradesh,35734,26064,929,0,838041
2020-08-06,Madhya Pradesh,36564,26902,946,0,846484
2020-08-07,Madhya Pradesh,37298,27621,962,0,859921
2020-08-08,Madhya Pradesh,38157,28353,977,0,874678
2020-08-09,Madhya Pradesh,39025,29020,996,0,891698
2020-08-10,Madhya Pradesh,39891,29674,1015,0,909926
2020-08-11,Madhya Pradesh,40734,30596,1033,0,931143
2020-08-12,Madhya Pradesh,41604,31239,1048,0,951822
2020-08-13,Madhya Pradesh,42618,31835,1065,0,972046
2020-08-14,Madhya Pradesh,43414,32405,1081,0,992172
2020-08-15,Madhya Pradesh,44433,33353,1094,0,1013332
2020-08-16,Madhya Pradesh,45455,34038,1105,0,1035343
2020-08-17,Madhya Pradesh,46385,35025,1128,0,1055205
2020-08-18,Madhya Pradesh,47375,35713,1141,0,1072575
2020-08-19,Madhya Pradesh,48351,36475,1159,0,1089939
2020-08-20,Madhya Pradesh,49493,37540,1171,0,1111158
2020-08-21,Madhya Pradesh,50640,38527,1185,0,1133826
2020-08-22,Madhya Pradesh,51866,39399,1206,0,1158510
2020-08-23,Madhya Pradesh,53129,40390,1229,0,1181280
2020-08-24,Madhya Pradesh,54421,41231,1246,0,1203705
2020-08-25,Madhya Pradesh,55800,42310,1265,0,1226559
2020-08-26,Madhya Pradesh,56864,43246,1282,0,1248021
2020-08-27,Madhya Pradesh,58181,44453,1306,0,1271846
2020-08-28,Madhya Pradesh,59433,45396,1323,0,1297699
2020-08-29,Madhya Pradesh,60875,46413,1345,0,1324851
2020-08-30,Madhya Pradesh,62433,47467,1374,0,1349814
2020-08-31,Madhya Pradesh,63965,48657,1394,0,1377427
2020-09-01,Madhya Pradesh,65490,49992,1426,0,1398277
2020-09-02,Madhya Pradesh,66914,51124,1453,0,1419750
2020-09-03,Madhya Pradesh,68586,52215,1483,0,1443477
2020-09-04,Madhya Pradesh,70244,53257,1513,0,1469459
2020-09-05,Madhya Pradesh,71880,54649,1543,0,1494848
2020-09-06,Madhya Pradesh,73574,55887,1572,0,1519014
2020-09-07,Madhya Pradesh,75459,56909,1589,0,1541356
2020-09-08,Madhya Pradesh,77323,58509,1609,0,1563953
2020-09-09,Madhya Pradesh,79192,59850,1640,0,1587945
2020-09-10,Madhya Pradesh,81379,61285,1661,0,1611639
2020-09-11,Madhya Pradesh,83619,62936,1691,0,1635070
2020-09-12,Madhya Pradesh,85966,64398,1728,0,1658175
2020-09-13,Madhya Pradesh,88247,65998,1762,0,1680074
2020-09-14,Madhya Pradesh,90730,67711,1791,0,1700929
2020-09-15,Madhya Pradesh,93053,69613,1820,0,1721188
2020-09-16,Madhya Pradesh,95515,71535,1844,0,1736474
2020-09-17,Madhya Pradesh,97906,74398,1877,0,1762070
2020-09-18,Madhya Pradesh,100458,76952,1901,0,1782505
2020-09-19,Madhya Pradesh,103065,79158,1943,0,1801714
2020-09-20,Madhya Pradesh,105644,81374,1970,0,1822297
2020-09-21,Madhya Pradesh,108167,83618,2007,0,1844080
2020-09-22,Madhya Pradesh,110711,86030,2035,0,1861778
2020-09-23,Madhya Pradesh,113057,88168,2077,0,1884858
2020-09-24,Madhya Pradesh,115361,90495,2122,0,1904145
2020-09-25,Madhya Pradesh,117588,93238,2152,0,1929748
2020-09-26,Madhya Pradesh,119899,95490,2181,0,1952747
2020-09-27,Madhya Pradesh,122209,97571,2207,0,1971589
2020-09-28,Madhya Pradesh,124166,100012,2242,0,1993227
2020-09-29,Madhya Pradesh,126043,102445,2281,0,2011959
2020-09-30,Madhya Pradesh,128047,104734,2316,0,2035134
2020-10-01,Madhya Pradesh,130088,107279,2336,0,2063765
2020-10-02,Madhya Pradesh,132107,109611,2372,0,2093269
2020-10-03,Madhya Pradesh,133918,111712,2399,0,2117799
2020-10-04,Madhya Pradesh,135638,113832,2434,0,2208006
2020-10-05,Madhya Pradesh,137098,115878,2463,0,2232079
2020-10-06,Madhya Pradesh,138668,118039,2488,0,2257909
2020-10-07,Madhya Pradesh,140307,120267,2518,0,2289634
2020-10-08,Madhya Pradesh,142022,122687,2547,0,2320430
2020-10-09,Madhya Pradesh,143629,124887,2574,0,2348457
2020-10-10,Madhya Pradesh,145245,127034,2599,0,2377711
2020-10-11,Madhya Pradesh,146820,129019,2624,0,2404153
2020-10-12,Madhya Pradesh,148298,130721,2645,0,2428707
2020-10-13,Madhya Pradesh,149761,132429,2671,0,2453709
2020-10-14,Madhya Pradesh,155276,138158,2686,0,2481194
2020-10-15,Madhya Pradesh,156584,139717,2710,0,2508619
2020-10-16,Madhya Pradesh,157936,141273,2735,0,2534366
2020-10-17,Madhya Pradesh,159158,142707,2753,0,2560849
2020-10-18,Madhya Pradesh,160188,144134,2773,0,2585631
2020-10-19,Madhya Pradesh,161203,145421,2786,0,2607185
2020-10-20,Madhya Pradesh,162178,146860,2811,0,2630278
2020-10-21,Madhya Pradesh,163296,148082,2828,0,2656824
2020-10-22,Madhya Pradesh,164341,149353,2842,0,2687838
2020-10-23,Madhya Pradesh,165294,150678,2855,0,2718925
