Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-03-03,Rajasthan,1,0,0,0,
2020-03-04,Rajasthan,2,0,0,0,
2020-03-05,Rajasthan,2,0,0,0,
2020-03-06,Rajasthan,2,0,0,0,
2020-03-07,Rajasthan,2,0,0,0,
2020-03-08,Rajasthan,2,0,0,0,
2020-03-09,Rajasthan,2,0,0,0,
2020-03-10,Rajasthan,3,0,0,0,
2020-03-11,Rajasthan,3,0,0,0,
2020-03-12,Rajasthan,3,0,0,0,
2020-03-13,Rajasthan,3,0,0,0,
2020-03-14,Rajasthan,4,0,0,0,
2020-03-15,Rajasthan,4,0,0,0,
2020-03-16,Rajasthan,4,0,0,0,
2020-03-17,Rajasthan,4,0,0,0,
2020-03-18,Rajasthan,7,0,0,0,
2020-03-19,Rajasthan,9,0,0,0,
2020-03-20,Rajasthan,17,0,0,0,
2020-03-21,Rajasthan,24,0,0,0,
2020-03-22,Rajasthan,29,0,0,0,
2020-03-23,Rajasthan,32,0,0,0,
2020-03-24,Rajasthan,32,0,0,0,
2020-03-25,Rajasthan,38,0,0,0,
2020-03-26,Rajasthan,43,0,0,0,
2020-03-27,Rajasthan,50,0,0,0,
2020-03-28,Rajasthan,54,0,0,0,
2020-03-29,Rajasthan,59,3,0,0,
2020-03-30,Rajasthan,79,3,0,0,
2020-03-31,Rajasthan,93,3,0,0,
2020-04-01,Rajasthan,120,3,0,0,
2020-04-02,Rajasthan,133,3,0,0,
2020-04-03,Rajasthan,179,3,0,0,
2020-04-04,Rajasthan,206,25,1,0,
2020-04-05,Rajasthan,266,25,1,0,12279
2020-04-06,Rajasthan,301,25,2,0,12279
2020-04-07,Rajasthan,343,25,2,0,17638
2020-04-08,Rajasthan,383,45,3,0,17638
2020-04-09,Rajasthan,463,60,3,0,19107
2020-04-10,Rajasthan,561,60,3,0,22349
2020-04-11,Rajasthan,700,116,9,0,24857
2020-04-12,Rajasthan,804,121,11,0,28505
2020-04-13,Rajasthan,897,121,11,0,31804
2020-04-14,Rajasthan,1005,147,11,0,34928
2020-04-15,Rajasthan,1076,147,11,0,37860
2020-04-16,Rajasthan,1131,164,11,0,40778
2020-04-17,Rajasthan,1229,183,17,0,42847
2020-04-18,Rajasthan,1351,200,21,0,47197
2020-04-19,Rajasthan,1478,205,23,0,51614
2020-04-20,Rajasthan,1576,205,25,0,57290
2020-04-21,Rajasthan,1735,274,26,0,61492
2020-04-22,Rajasthan,1888,344,27,0,66257
2020-04-23,Rajasthan,1964,451,28,0,69764
2020-04-24,Rajasthan,2034,493,32,0,74484
2020-04-25,Rajasthan,2083,513,34,0,78993
2020-04-26,Rajasthan,2185,629,41,0,82942
2020-04-27,Rajasthan,2262,744,50,0,87777
2020-04-28,Rajasthan,2364,770,52,0,92506
2020-04-29,Rajasthan,2440,814,55,0,97790
2020-04-30,Rajasthan,2584,893,58,0,103704
2020-05-01,Rajasthan,2666,1116,62,0,108543
2020-05-02,Rajasthan,2772,1242,68,0,113934
2020-05-03,Rajasthan,2886,1356,71,0,120240
2020-05-04,Rajasthan,3061,1438,77,0,129258
2020-05-05,Rajasthan,3158,1525,89,0,134987
2020-05-06,Rajasthan,3317,1739,93,0,139580
2020-05-07,Rajasthan,3427,1889,99,0,145510
2020-05-08,Rajasthan,3579,2011,103,0,152245
2020-05-09,Rajasthan,3708,2162,106,0,159157
2020-05-10,Rajasthan,3814,2241,108,0,166424
2020-05-11,Rajasthan,3988,2324,113,0,176130
2020-05-12,Rajasthan,4126,2454,117,0,185610
2020-05-13,Rajasthan,4328,2573,121,0,194683
2020-05-14,Rajasthan,4534,2638,125,0,204243
2020-05-15,Rajasthan,4747,2729,125,0,212317
2020-05-16,Rajasthan,4960,2944,126,0,221439
2020-05-17,Rajasthan,5202,3055,131,0,231946
2020-05-18,Rajasthan,5507,3218,138,0,243476
2020-05-19,Rajasthan,5845,3337,143,0,254533
2020-05-20,Rajasthan,6015,3404,147,0,265555
2020-05-21,Rajasthan,6227,3485,151,0,275974
2020-05-22,Rajasthan,6494,3680,153,0,287164
2020-05-23,Rajasthan,6742,3786,160,0,303935
2020-05-24,Rajasthan,7028,3848,163,0,317067
2020-05-25,Rajasthan,7300,4056,167,0,327836
2020-05-26,Rajasthan,7536,4276,170,0,337159
2020-05-27,Rajasthan,7816,4562,173,0,350600
2020-05-28,Rajasthan,8067,4815,180,0,365556
2020-05-29,Rajasthan,8365,5244,184,0,379315
2020-05-30,Rajasthan,8617,5739,193,0,395490
2020-05-31,Rajasthan,8831,6032,194,0,409777
2020-06-01,Rajasthan,9100,6213,199,0,425184
2020-06-02,Rajasthan,9373,6435,203,0,440789
2020-06-03,Rajasthan,9652,6744,209,0,454788
2020-06-04,Rajasthan,9862,7104,213,0,467129
2020-06-05,Rajasthan,10084,7359,218,0,480910
2020-06-06,Rajasthan,10337,7501,231,0,494480
2020-06-07,Rajasthan,10599,7754,240,0,506784
2020-06-08,Rajasthan,10876,8117,246,0,518350
2020-06-09,Rajasthan,11245,8328,255,0,530031
2020-06-10,Rajasthan,11600,8569,259,0,543312
2020-06-11,Rajasthan,11838,8775,265,0,558064
2020-06-12,Rajasthan,12068,9011,272,0,571543
2020-06-13,Rajasthan,12401,9337,282,0,584954
2020-06-14,Rajasthan,12694,9566,292,0,598920
2020-06-15,Rajasthan,12981,9785,301,0,609296
2020-06-16,Rajasthan,13216,9962,308,0,622334
2020-06-17,Rajasthan,13542,10467,313,0,637937
2020-06-18,Rajasthan,13857,10742,330,0,654816
2020-06-19,Rajasthan,14156,10997,333,0,667643
2020-06-20,Rajasthan,14537,11274,337,0,683017
2020-06-21,Rajasthan,14930,11597,349,0,699126
2020-06-22,Rajasthan,15232,11910,356,0,709592
2020-06-23,Rajasthan,15627,12213,365,0,726077
2020-06-24,Rajasthan,16009,12611,375,0,740855
2020-06-25,Rajasthan,16296,12840,379,0,757137
2020-06-26,Rajasthan,16660,13062,380,0,770174
2020-06-27,Rajasthan,16944,13367,391,0,784803
2020-06-28,Rajasthan,17271,13611,399,0,800214
2020-06-29,Rajasthan,17660,13921,405,0,809777
2020-06-30,Rajasthan,18008,14220,413,0,824213
2020-07-01,Rajasthan,18312,14574,421,0,839370
2020-07-02,Rajasthan,18662,14948,430,0,854274
2020-07-03,Rajasthan,19052,15281,440,0,869602
2020-07-04,Rajasthan,19532,15640,447,0,889355
2020-07-05,Rajasthan,20164,15928,456,0,909132
2020-07-06,Rajasthan,20688,16278,461,0,920600
2020-07-07,Rajasthan,21404,16575,472,0,940758
2020-07-08,Rajasthan,22063,16866,482,0,963454
2020-07-09,Rajasthan,22563,17070,491,0,987272
2020-07-10,Rajasthan,23174,17620,497,0,1009195
2020-07-11,Rajasthan,23748,17869,503,0,1032198
2020-07-12,Rajasthan,24392,18103,510,0,1054080
2020-07-13,Rajasthan,24936,18630,518,0,1068283
2020-07-14,Rajasthan,25571,19169,524,0,1096696
2020-07-15,Rajasthan,26437,19502,530,0,1123902
2020-07-16,Rajasthan,27174,19970,538,0,1151952
2020-07-17,Rajasthan,27789,20626,546,0,1175379
2020-07-18,Rajasthan,28500,21144,553,0,1204676
2020-07-19,Rajasthan,29434,21730,559,0,1231760
2020-07-20,Rajasthan,30390,22195,568,0,1244387
2020-07-21,Rajasthan,31373,22744,577,0,1270376
2020-07-22,Rajasthan,32334,23364,583,0,1298218
2020-07-23,Rajasthan,33220,23815,594,0,1325580
2020-07-24,Rajasthan,34178,24547,602,0,1349544
2020-07-25,Rajasthan,35298,25306,613,0,1377850
2020-07-26,Rajasthan,36430,25954,624,0,1403124
2020-07-27,Rajasthan,37564,26834,633,0,1417882
2020-07-28,Rajasthan,38636,27317,644,0,1445240
2020-07-29,Rajasthan,39780,28309,654,0,1473098
2020-07-30,Rajasthan,40936,29231,667,0,1500693
2020-07-31,Rajasthan,42083,29845,680,0,1526962
2020-08-01,Rajasthan,43243,30668,694,0,1553942
2020-08-02,Rajasthan,44410,31216,706,0,1570989
2020-08-03,Rajasthan,45555,32051,719,0,1584925
2020-08-04,Rajasthan,46679,32832,732,0,1592318
2020-08-05,Rajasthan,47845,33849,745,0,1619744
2020-08-06,Rajasthan,48996,35131,757,0,1651221
2020-08-07,Rajasthan,50157,36195,767,0,1678314
2020-08-08,Rajasthan,51328,37163,778,0,1710963
2020-08-09,Rajasthan,52497,38235,789,0,1740732
2020-08-10,Rajasthan,53670,39060,800,0,1754897
2020-08-11,Rajasthan,54887,40399,811,0,1784992
2020-08-12,Rajasthan,56100,41648,822,0,1820131
2020-08-13,Rajasthan,57414,41819,833,0,1839445
2020-08-14,Rajasthan,58692,43897,846,0,1868534
2020-08-15,Rajasthan,59979,45254,862,0,1898595
2020-08-16,Rajasthan,61296,46604,876,0,1913726
2020-08-17,Rajasthan,62630,47654,887,0,1930842
2020-08-18,Rajasthan,63977,48960,898,0,1966178
2020-08-19,Rajasthan,65289,49963,910,0,1998912
2020-08-20,Rajasthan,66619,51190,921,0,2033646
2020-08-21,Rajasthan,67954,52496,933,0,2062109
2020-08-22,Rajasthan,69264,54144,944,0,2093850
2020-08-23,Rajasthan,70609,55324,955,0,2122395
2020-08-24,Rajasthan,71955,56600,967,0,2137137
2020-08-25,Rajasthan,73325,58126,980,0,2166744
2020-08-26,Rajasthan,74670,59579,992,0,2196353
2020-08-27,Rajasthan,76015,60585,1005,0,2228662
2020-08-28,Rajasthan,77370,62033,1017,0,2254613
2020-08-29,Rajasthan,78777,62971,1030,0,2274901
2020-08-30,Rajasthan,80227,65093,1043,0,2302023
2020-08-31,Rajasthan,81693,66812,1056,0,2314603
2020-09-01,Rajasthan,83163,68124,1069,0,2343369
2020-09-02,Rajasthan,84674,70674,1081,0,2364613
2020-09-03,Rajasthan,86227,71220,1095,0,2392144
2020-09-04,Rajasthan,87797,71899,1108,0,2416268
