Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-03-07,Tamil Nadu,1,0,0,0,
2020-03-08,Tamil Nadu,1,0,0,0,
2020-03-09,Tamil Nadu,1,0,0,0,
2020-03-10,Tamil Nadu,1,0,0,0,
2020-03-11,Tamil Nadu,1,0,0,0,
2020-03-12,Tamil Nadu,1,0,0,0,
2020-03-13,Tamil Nadu,1,0,0,0,
2020-03-14,Tamil Nadu,1,0,0,0,
2020-03-15,Tamil Nadu,1,0,0,0,
2020-03-16,Tamil Nadu,1,0,0,0,
2020-03-17,Tamil Nadu,1,0,0,0,
2020-03-18,Tamil Nadu,2,0,0,0,
2020-03-19,Tamil Nadu,3,0,0,0,
2020-03-20,Tamil Nadu,3,0,0,0,
2020-03-21,Tamil Nadu,6,0,0,0,
2020-03-22,Tamil Nadu,9,0,0,0,
2020-03-23,Tamil Nadu,12,0,0,0,
2020-03-24,Tamil Nadu,18,0,0,0,
2020-03-25,Tamil Nadu,26,0,0,0,
2020-03-26,Tamil Nadu,29,0,0,0,
2020-03-27,Tamil Nadu,38,0,0,0,
2020-03-28,Tamil Nadu,42,0,0,0,
2020-03-29,Tamil Nadu,50,4,1,0,
2020-03-30,Tamil Nadu,67,4,1,0,
2020-03-31,Tamil Nadu,124,6,1,0,
2020-04-01,Tamil Nadu,234,6,1,0,
2020-04-02,Tamil Nadu,309,6,1,0,
2020-04-03,Tamil Nadu,411,6,1,0,3684
2020-04-04,Tamil Nadu,485,8,3,0,3684
2020-04-05,Tamil Nadu,571,8,5,0,3684
2020-04-06,Tamil Nadu,621,13,6,0,3684
2020-04-07,Tamil Nadu,690,19,7,0,3684
2020-04-08,Tamil Nadu,738,21,8,0,5305
2020-04-09,Tamil Nadu,834,27,8,0,7267
2020-04-10,Tamil Nadu,911,44,9,0,8410
2020-04-11,Tamil Nadu,969,44,10,0,9842
2020-04-12,Tamil Nadu,1075,50,11,0,10655
2020-04-13,Tamil Nadu,1173,58,11,0,12746
2020-04-14,Tamil Nadu,1204,81,12,0,19255
2020-04-15,Tamil Nadu,1242,118,14,0,21994
2020-04-16,Tamil Nadu,1267,180,15,0,26005
2020-04-17,Tamil Nadu,1323,283,15,0,29673
2020-04-18,Tamil Nadu,1372,365,15,0,35036
2020-04-19,Tamil Nadu,1477,411,15,0,40876
2020-04-20,Tamil Nadu,1520,457,17,0,46985
2020-04-21,Tamil Nadu,1596,635,18,0,53045
2020-04-22,Tamil Nadu,1629,662,18,0,59023
2020-04-23,Tamil Nadu,1683,752,20,0,65977
2020-04-24,Tamil Nadu,1755,866,22,0,72403
2020-04-25,Tamil Nadu,1821,960,23,0,80110
2020-04-26,Tamil Nadu,1885,1020,24,0,87605
2020-04-27,Tamil Nadu,1937,1074,24,0,94781
2020-04-28,Tamil Nadu,2058,1128,25,0,101874
2020-04-29,Tamil Nadu,2162,1210,27,0,109961
2020-04-30,Tamil Nadu,2323,1258,27,0,119748
2020-05-01,Tamil Nadu,2526,1312,28,0,129363
2020-05-02,Tamil Nadu,2757,1341,29,0,139490
2020-05-03,Tamil Nadu,3023,1379,30,0,150107
2020-05-04,Tamil Nadu,3550,1409,31,0,162970
2020-05-05,Tamil Nadu,4058,1485,33,0,174828
2020-05-06,Tamil Nadu,4829,1516,35,0,188241
2020-05-07,Tamil Nadu,5409,1547,37,0,202436
2020-05-08,Tamil Nadu,6009,1605,40,0,216416
2020-05-09,Tamil Nadu,6535,1824,44,0,229670
2020-05-10,Tamil Nadu,7204,1959,47,0,243037
2020-05-11,Tamil Nadu,8002,2051,53,0,254899
2020-05-12,Tamil Nadu,8718,2134,61,0,266687
2020-05-13,Tamil Nadu,9227,2175,64,0,279467
2020-05-14,Tamil Nadu,9674,2240,66,0,291432
2020-05-15,Tamil Nadu,10108,2599,71,0,303104
2020-05-16,Tamil Nadu,10585,3538,75,0,313639
2020-05-17,Tamil Nadu,11224,4172,79,0,326720
2020-05-18,Tamil Nadu,11760,4406,82,0,337841
2020-05-19,Tamil Nadu,12448,4895,85,0,348174
2020-05-20,Tamil Nadu,13191,5882,88,0,360068
2020-05-21,Tamil Nadu,13967,6282,95,0,372532
2020-05-22,Tamil Nadu,14753,7128,99,0,385185
2020-05-23,Tamil Nadu,15512,7491,104,0,397340
2020-05-24,Tamil Nadu,16277,8324,112,0,409615
2020-05-25,Tamil Nadu,17082,8731,119,0,421450
2020-05-26,Tamil Nadu,17728,9342,130,0,431739
2020-05-27,Tamil Nadu,18545,9909,136,0,442970
2020-05-28,Tamil Nadu,19372,10548,148,0,455216
2020-05-29,Tamil Nadu,20246,11313,157,0,466550
2020-05-30,Tamil Nadu,21184,12000,163,0,479155
2020-05-31,Tamil Nadu,22333,12757,176,0,491962
2020-06-01,Tamil Nadu,23495,13170,187,0,503339
2020-06-02,Tamil Nadu,24586,13706,200,0,514433
2020-06-03,Tamil Nadu,25872,14316,208,0,528534
2020-06-04,Tamil Nadu,27256,14901,223,0,544981
2020-06-05,Tamil Nadu,28694,15762,235,0,560673
2020-06-06,Tamil Nadu,30152,16395,254,0,576695
2020-06-07,Tamil Nadu,31667,16999,272,0,592970
2020-06-08,Tamil Nadu,33229,17527,289,0,607952
2020-06-09,Tamil Nadu,34914,18325,307,0,621171
2020-06-10,Tamil Nadu,36841,19333,326,0,638846
2020-06-11,Tamil Nadu,38716,20705,349,0,655675
2020-06-12,Tamil Nadu,40698,22047,367,0,673906
